option_type,strike,expiration_date,yearstoexp,bid,ask,volume,open_interest,mid_iv,delta,gamma,theta,vega
put,371.0,2024-03-13,0.0028253741755454084,0.0,0.01,0,0,1.157657,-3.3e-15,-2.8528406890936296e-14,-0.06232751234168613,2.0000022267856926e-5
call,371.0,2024-03-13,0.0028253741755454084,72.34,72.78,2,0,1.607307,0.9999999999999967,-2.8528406890936296e-14,-0.06232751234168613,2.0000022267856926e-5
put,372.0,2024-03-13,0.0028253741755454084,0.0,0.01,0,0,1.141621,-8.0e-16,-1.3083591259316065e-14,-0.06249551102773558,2.0000022267856926e-5
call,372.0,2024-03-13,0.0028253741755454084,71.3,71.78,0,0,1.586255,0.9999999999999992,-1.3083591259316065e-14,-0.06249551102773558,2.0000022267856926e-5
put,373.0,2024-03-13,0.0028253741755454084,0.0,0.01,20,235,1.125629,7.8e-15,-3.3446336913970675e-14,-0.06266350971236039,2.000002254620514e-5
call,373.0,2024-03-13,0.0028253741755454084,70.34,70.78,0,2,1.362726,1.0000000000000078,-3.3446336913970675e-14,-0.06266350971236039,2.000002254620514e-5
put,374.0,2024-03-13,0.0028253741755454084,0.0,0.01,0,160,1.10968,-4.6e-15,-2.3194948608653368e-14,-0.06283150839912216,2.0000021989508713e-5
call,374.0,2024-03-13,0.0028253741755454084,69.3,69.72,0,1,1.343652,0.9999999999999954,-2.3194948608653368e-14,-0.06283150839912216,2.0000021989508713e-5
put,375.0,2024-03-13,0.0028253741755454084,0.0,0.01,0,120,1.093775,-1.05e-14,-2.3317431098083476e-14,-0.06299950708409957,2.0000022267856926e-5
call,375.0,2024-03-13,0.0028253741755454084,68.3,68.72,0,1,1.324629,0.9999999999999895,-2.3317431098083476e-14,-0.06299950708409957,2.0000022267856926e-5
put,376.0,2024-03-13,0.0028253741755454084,0.0,0.01,0,7,1.077912,4.0e-15,-3.332385442454057e-14,-0.06316750576978931,2.0000021432812293e-5
call,376.0,2024-03-13,0.0028253741755454084,67.3,67.72,0,0,1.305658,1.000000000000004,-3.332385442454057e-14,-0.06316750576978931,2.0000021432812293e-5
put,377.0,2024-03-13,0.0028253741755454084,0.0,0.01,1,16,1.062092,-9.3e-15,-2.8405222498690413e-14,-0.06333550445547906,2.0000021989508713e-5
call,377.0,2024-03-13,0.0028253741755454084,66.3,66.72,0,9,1.286738,0.9999999999999907,-2.8405222498690413e-14,-0.06333550445547906,2.0000021989508713e-5
put,378.0,2024-03-13,0.0028253741755454084,0.0,0.01,0,105,1.046315,4.0e-16,-1.8171382659923e-14,-0.06350350314082329,2.0000022267856926e-5
call,378.0,2024-03-13,0.0028253741755454084,65.3,65.78,0,0,1.267869,1.0000000000000004,-1.8171382659923e-14,-0.06350350314082329,2.0000022267856926e-5
put,379.0,2024-03-13,0.0028253741755454084,0.0,0.01,10,109,1.03058,-7.1e-15,-3.8364968839820836e-14,-0.0636715018261604,2.0000021711160503e-5
call,379.0,2024-03-13,0.0028253741755454084,64.3,64.78,16,0,1.24905,0.9999999999999929,-3.8364968839820836e-14,-0.0636715018261604,2.0000021711160503e-5
put,380.0,2024-03-13,0.0028253741755454084,0.0,0.01,0,10,1.014887,2.7e-15,-2.832064276131202e-14,-0.06383950051185014,2.0000021711160503e-5
call,380.0,2024-03-13,0.0028253741755454084,63.3,63.78,0,60,1.230281,1.0000000000000027,-2.832064276131202e-14,-0.06383950051185014,2.0000021711160503e-5
put,381.0,2024-03-13,0.0028253741755454084,0.0,0.01,0,16,0.999235,6.9e-15,-3.339965992864401e-14,-0.06400749919736358,2.0000021989508713e-5
call,381.0,2024-03-13,0.0028253741755454084,62.34,62.78,0,1,1.211564,1.0000000000000069,-3.339965992864401e-14,-0.06400749919736358,2.0000021989508713e-5
put,382.0,2024-03-13,0.0028255010147133436,0.0,0.01,15,71,0.983626,2.2e-15,-2.576218280162017e-14,-0.06417549788323318,2.0000021571986396e-5
call,382.0,2024-03-13,0.0028253741755454084,61.34,61.78,0,0,1.192895,1.0000000000000022,-2.576218280162017e-14,-0.06417549788323318,2.0000021571986396e-5
put,383.0,2024-03-13,0.0028253741755454084,0.0,0.01,9,31,0.968057,4.4e-15,-2.3241625593980037e-14,-0.06434349656875016,2.0000021571986396e-5
call,383.0,2024-03-13,0.0028253741755454084,60.34,60.78,0,1,1.17431,1.0000000000000044,-2.3241625593980037e-14,-0.06434349656875016,2.0000021571986396e-5
put,384.0,2024-03-13,0.0028253741755454084,0.0,0.01,3,62,0.95253,5.0e-15,-2.5846762538998558e-14,-0.06451149525426358,2.0000021989508713e-5
call,384.0,2024-03-13,0.0028253741755454084,59.34,59.78,0,0,1.155396,1.000000000000005,-2.5846762538998558e-14,-0.06451149525426358,2.0000021989508713e-5
put,385.0,2024-03-13,0.0028255010147133436,0.0,0.01,21,54,0.937044,-2.0e-16,-2.832064276131202e-14,-0.06467949393995688,2.0000021432812293e-5
call,385.0,2024-03-13,0.0028253741755454084,58.34,58.78,0,2,1.136416,0.9999999999999998,-2.832064276131202e-14,-0.06467949393995688,2.0000021432812293e-5
