option_type,strike,expiration_date,yearstoexp,bid,ask,volume,open_interest,mid_iv,delta,gamma,theta,vega
call,47.5,2023-12-15,0.010958935819381024,67.15,68.0,2,45,4.564221,1.0000000000000002,1.413954533131424e-15,-0.01027866994459593,2.00000000971088e-5
put,47.5,2023-12-15,0.011004027143581938,0.0,0.01,0,14,0.0,2.0e-16,1.413954533131424e-15,-0.01027866994459593,2.00000000971088e-5
put,50.0,2023-12-15,0.010964865550481989,0.0,0.01,0,3,2.721662,2.0e-16,1.4453599916963293e-15,-0.01081965257322168,2.0e-5
call,50.0,2023-12-15,0.010958999238964992,64.8,65.5,10,125,5.017544,1.0000000000000002,1.4453599916963293e-15,-0.01081965257322168,2.0e-5
put,55.0,2023-12-15,0.010964833840690006,0.0,0.01,0,17,2.427396,-4.0e-16,-2.121403084056719e-15,-0.011901617830472295,2.00000000971088e-5
call,55.0,2023-12-15,0.01095896752917301,60.0,60.3,0,11,4.656201,0.9999999999999996,-2.121403084056719e-15,-0.011901617830472295,2.00000000971088e-5
put,60.0,2023-12-15,0.011483384069000508,0.0,0.01,0,566,NaN,NaN,NaN,NaN,NaN
call,60.0,2023-12-15,0.01095896752917301,54.75,55.3,0,8,3.197347,0.9999999999999998,-9.100494006715995e-16,-0.012983583087767963,2.0e-5
put,65.0,2023-12-15,0.010964833840690006,0.0,0.01,0,167,1.906225,-1.1e-15,-5.564197763151269e-15,-0.014065548345062743,1.9999999854336813e-5
call,65.0,2023-12-15,0.01095896752917301,49.15,50.35,0,9,3.257205,0.9999999999999989,-5.564197763151269e-15,-0.014065548345062743,1.9999999854336813e-5
put,70.0,2023-12-15,0.010959094368340944,0.0,0.01,101,110,1.674179,-4.141e-12,3.735744396440218e-12,-0.015147513638326279,2.000000305892695e-5
call,70.0,2023-12-15,0.01095896752917301,44.9,45.45,2,64,2.986447,0.999999999995859,3.735744396440218e-12,-0.015147513638326279,2.000000305892695e-5
put,75.0,2023-12-15,0.010960774987316083,0.0,0.01,0,418,1.457787,-3.0257611e-9,2.3015411044827666e-9,-0.01622950100751006,2.0003377152461064e-5
call,75.0,2023-12-15,0.010959094368340944,39.9,40.45,0,45,2.829175,0.9999999969742389,2.3015411044827666e-9,-0.01622950100751006,2.0003377152461064e-5
put,80.0,2023-12-15,0.010964865550481989,0.0,0.01,225,343,1.251718,-4.722480739e-7,3.020504237893546e-7,-0.017314348843543506,2.0325541105282312e-5
call,80.0,2023-12-15,0.010959094368340944,34.9,35.75,39,82,2.072464,0.9999995277519261,3.020504237893546e-7,-0.017314348843543506,2.0325541105282312e-5
put,85.0,2023-12-15,0.010964389903602233,0.0,0.01,21,1548,1.058361,-2.36168479774e-5,1.2556263257865195e-5,-0.018514056754237014,3.3760040772585085e-5
call,85.0,2023-12-15,0.010958999238964992,30.0,30.5,0,185,1.974852,0.9999763831520226,1.2556263257865195e-5,-0.018514056754237014,3.3760040772585085e-5
put,87.0,2023-12-15,0.010964865550481989,0.0,0.01,1,1,0.984251,-8.60803922852e-5,4.240610669691027e-5,-0.01923349348472358,6.661066141711243e-5
call,87.0,2023-12-15,0.010958935819381024,28.0,28.4,0,3,1.615069,0.9999139196077148,4.240610669691027e-5,-0.01923349348472358,6.661066141711243e-5
put,87.5,2023-12-15,0.010964865550481989,0.0,0.01,0,897,0.965997,-0.0001182883799805,5.7030295919472656e-5,-0.019482085903527586,8.713678135864052e-5
call,87.5,2023-12-15,0.01095896752917301,27.05,28.15,1,175,1.587208,0.9998817116200195,5.7030295919472656e-5,-0.019482085903527586,8.713678135864052e-5
put,88.0,2023-12-15,0.010964865550481989,0.0,0.01,0,0,0.947855,-0.0001564931824328,7.417025957882204e-5,-0.01975481860615274,8.738520905191885e-5
call,88.0,2023-12-15,0.010959157787924912,26.6,27.45,0,0,1.755962,0.9998435068175672,7.417025957882204e-5,-0.01975481860615274,8.738520905191885e-5
put,89.0,2023-12-15,0.010964865550481989,0.0,0.01,0,0,0.911127,-0.0002837313381706,0.0001286908939620221,-0.02049443816829067,0.00015869684185431946
call,89.0,2023-12-15,0.010958999238964992,25.5,26.35,0,2,1.696059,0.9997162686618294,0.0001286908939620221,-0.02049443816829067,0.00015869684185431946
put,90.0,2023-12-15,0.010959538305428717,0.0,0.01,59,3599,0.874548,-0.0004815698512214,0.00021005913008564174,-0.02149150443038361,0.00029296327435854444
call,90.0,2023-12-15,0.010959094368340944,24.6,25.5,1,231,1.232748,0.9995184301487786,0.00021005913008564174,-0.02149150443038361,0.00029296327435854444
put,91.0,2023-12-15,0.010964833840690006,0.0,0.01,0,31,0.838383,-0.0008134994157328,0.00033974652670462803,-0.022951729653959897,0.00040077580600305274
call,91.0,2023-12-15,0.010958999238964992,23.75,24.4,0,4,1.638752,0.9991865005842672,0.00033974652670462803,-0.022951729653959897,0.00040077580600305274
call,92.0,2023-12-15,0.01095906265854896,22.9,23.35,0,0,1.251339,0.9986697526451097,0.0005319635344581422,-0.025011033002218724,0.0005376419359884714
put,92.0,2023-12-15,0.010959538305428717,0.0,0.01,381,9,0.833925,-0.0013302473548903,0.0005319635344581422,-0.025011033002218724,0.0005376419359884714
call,92.5,2023-12-15,0.01095906265854896,22.35,23.0,0,2681,1.577514,0.9983691704672494,0.0006421204792529455,-0.026133495337957686,0.0007227877283654082
put,92.5,2023-12-15,0.010964326484018265,0.0,0.02,157,3142,0.846304,-0.0016308295327506,0.0006421204792529455,-0.026133495337957686,0.0007227877283654082
put,93.0,2023-12-15,0.010960045662100456,0.0,0.02,32,1,0.797375,-0.00212633418267,0.0008125186748221234,-0.027916202915836442,0.0009530712323217981
call,93.0,2023-12-15,0.01095906265854896,21.45,22.6,0,0,1.146977,0.99787366581733,0.0008125186748221234,-0.027916202915836442,0.0009530712323217981
