option_type,strike,expiration_date,yearstoexp,bid,ask,volume,open_interest,mid_iv,delta,gamma,theta,vega
put,57.0,2024-03-13,0.0028538812785388126,0.0,0.25,0,0,3.052625,7.8e-15,-1.538220052932343e-13,0.0,1.999999982286193e-5
call,57.0,2024-03-13,0.002854103247082699,14.4,18.15,0,0,5.297795,1.0000000000000078,-1.538220052932343e-13,0.0,1.999999982286193e-5
put,58.0,2024-03-13,0.0028539446981227803,0.0,0.25,0,0,2.879264,7.8e-15,-1.538220052932343e-13,0.0,1.9999999800719668e-5
call,58.0,2024-03-13,0.0028542935058346016,13.0,17.5,0,0,5.157622,1.0000000000000078,-1.538220052932343e-13,0.0,1.9999999800719668e-5
put,59.0,2024-03-13,0.0028539446981227803,0.0,0.25,0,0,2.708918,7.8e-15,-1.538220052932343e-13,0.0,1.9999999800719668e-5
call,59.0,2024-03-13,0.0028539446981227803,12.0,16.5,0,0,4.90743,1.0000000000000078,-1.538220052932343e-13,0.0,1.9999999800719668e-5
put,60.0,2024-03-13,0.0028538812785388126,0.0,0.25,0,0,2.541482,7.8e-15,-1.538220052932343e-13,0.0,1.9999999800719668e-5
call,60.0,2024-03-13,0.002854103247082699,11.65,14.9,0,0,4.298378,1.0000000000000078,-1.538220052932343e-13,0.0,1.9999999800719668e-5
put,61.0,2024-03-13,0.0028539446981227803,0.0,0.25,0,0,2.375308,7.8e-15,-1.538220052932343e-13,0.0,1.9999999800719668e-5
call,61.0,2024-03-13,0.0028540398274987315,10.0,14.5,0,0,4.419635,1.0000000000000078,-1.538220052932343e-13,0.0,1.9999999800719668e-5
put,62.0,2024-03-13,0.0028539446981227803,0.0,0.25,0,0,2.206963,7.8e-15,-1.538220052932343e-13,0.0,1.9999999800719668e-5
call,62.0,2024-03-13,0.0028540398274987315,9.0,13.5,0,0,4.170746,1.0000000000000078,-1.538220052932343e-13,0.0,1.9999999800719668e-5
call,63.0,2024-03-13,0.0028539446981227803,8.05,12.3,0,0,3.925978,1.0000000000000078,-1.538220052932343e-13,0.0,1.9999999800719668e-5
put,63.0,2024-03-13,0.0028542300862506344,0.0,0.25,0,1,2.041347,7.8e-15,-1.538220052932343e-13,0.0,1.9999999800719668e-5
put,64.0,2024-03-13,0.0028538812785388126,0.0,0.25,0,0,1.876996,7.8e-15,-1.538220052932343e-13,0.0,1.9999999800719668e-5
call,64.0,2024-03-13,0.002854769152714358,7.0,11.2,0,0,3.638916,1.0000000000000078,-1.538220052932343e-13,0.0,1.9999999800719668e-5
put,65.0,2024-03-13,0.0028538812785388126,0.0,0.25,0,0,1.709955,7.8e-15,-1.538220052932343e-13,0.0,1.9999999800719668e-5
call,65.0,2024-03-13,0.002854103247082699,6.85,9.15,0,0,2.383638,1.0000000000000078,-1.538220052932343e-13,0.0,1.9999999800719668e-5
put,66.0,2024-03-13,0.0028538812785388126,0.0,0.25,0,0,1.54548,7.8e-15,-1.538220052932343e-13,0.0,1.9999999800719668e-5
call,66.0,2024-03-13,0.002854356925418569,5.0,9.2,0,0,3.109836,1.0000000000000078,-1.538220052932343e-13,0.0,1.9999999800719668e-5
put,67.0,2024-03-13,0.0028542300862506344,0.0,0.25,0,9,1.378883,7.8e-15,-1.538220052932343e-13,0.0,1.9999999800719668e-5
call,67.0,2024-03-13,0.002854103247082699,4.8,7.55,0,0,2.443915,1.0000000000000078,-1.538220052932343e-13,0.0,1.9999999800719668e-5
put,68.0,2024-03-13,0.0028538812785388126,0.0,0.25,0,3,1.212089,-7.9e-15,1.5128630161119528e-13,0.0,2.0000000621711367e-5
call,68.0,2024-03-13,0.002854103247082699,3.45,6.15,0,2,1.770585,0.9999999999999921,1.5128630161119528e-13,0.0,2.0000000621711367e-5
put,69.0,2024-03-13,0.0028542300862506344,0.0,0.2,4,163,0.974835,-6.2e-15,-9.56876287337574e-14,0.0,2.000000035968185e-5
call,69.0,2024-03-13,0.0028540398274987315,2.7,5.35,0,6,1.73428,0.9999999999999938,-9.56876287337574e-14,0.0,2.000000035968185e-5
put,70.0,2024-03-13,0.0029918822932521565,0.01,0.06,11,96,NaN,NaN,NaN,NaN,NaN
call,70.0,2024-03-13,0.002854103247082699,1.58,4.65,0,3,1.741328,0.9755915855034143,0.03276631247329819,-0.04381865583929583,0.0021411777490163144
put,71.0,2024-03-13,0.0028539446981227803,0.02,0.06,23,231,0.394296,-0.0774740229558962,0.0833985252597129,-0.1132210386373245,0.005291318937167459
call,71.0,2024-03-13,0.002854103247082699,0.53,3.85,0,15,1.637437,0.9225259770441038,0.0833985252597129,-0.1132210386373245,0.005291318937167459
put,72.0,2024-03-13,0.0028539446981227803,0.08,0.13,158,231,0.343078,-0.1787284457255419,0.17071081669829194,-0.18442464801000447,0.00974513025033377
call,72.0,2024-03-13,0.0028542300862506344,1.4,1.55,5,32,0.373821,0.8212715542744581,0.17071081669829194,-0.18442464801000447,0.00974513025033377
put,73.0,2024-03-13,0.0028539129883307967,0.31,0.37,402,273,0.314482,-0.3931504596848625,0.29026433224676895,-0.24708841514751637,0.014455509562654728
call,73.0,2024-03-13,0.0028539129883307967,0.65,0.74,97,254,0.333128,0.6068495403151375,0.29026433224676895,-0.24708841514751637,0.014455509562654728
put,74.0,2024-03-13,0.002854008117706748,0.81,0.9,127,88,0.294068,-0.6951617239129275,0.28399625526102495,-0.2235830463405224,0.013930738566896073
call,74.0,2024-03-13,0.0028539129883307967,0.2,0.24,412,405,0.310625,0.3048382760870725,0.28399625526102495,-0.2235830463405224,0.013930738566896073
put,75.0,2024-03-13,0.0028541349568746827,1.11,2.3,36,186,0.931792,-0.8886569278589371,0.14883001484731426,-0.1321204139706952,0.008008862042866662
call,75.0,2024-03-13,0.0028539446981227803,0.04,0.06,259,472,0.322069,0.11134307214106283,0.14883001484731426,-0.1321204139706952,0.008008862042866662
call,76.0,2024-03-13,0.0028542935058346016,0.01,0.12,68,388,0.446304,0.028610773151219737,0.05121857118004689,-0.047916523274906316,0.002825731697998912
put,76.0,2024-03-13,0.0028539446981227803,1.86,4.25,5,62,1.761959,-0.9713892268487803,0.05121857118004689,-0.047916523274906316,0.002825731697998912
put,77.0,2024-03-13,0.002854103247082699,2.02,4.8,0,18,1.65913,-0.996288725820627,0.00916387667247588,-0.008169555465983316,0.0004771173656861612
call,77.0,2024-03-13,0.0028626648909183157,0.0,0.02,8,312,0.479151,0.003711274179372965,0.00916387667247588,-0.008169555465983316,0.0004771173656861612
put,78.0,2024-03-13,0.002854103247082699,2.96,6.25,0,0,2.193547,-0.99975929073887,0.0007898350446642372,-0.0006704638486179267,5.764817494416885e-5
call,78.0,2024-03-13,0.0028542300862506344,0.0,0.1,6,238,0.794151,0.00024070926112995149,0.0007898350446642372,-0.0006704638486179267,5.764817494416885e-5
put,79.0,2024-03-13,0.002854103247082699,4.85,6.7,0,0,1.966038,-0.9999681908280681,0.00011249713203965184,-0.00010664448540601687,2.5435337848995775e-5
call,79.0,2024-03-13,0.0033087265347539322,0.0,0.01,0,229,NaN,NaN,NaN,NaN,NaN
