option_type,strike,expiration_date,yearstoexp,bid,ask,volume,open_interest,mid_iv,delta,gamma,theta,vega
put,13.0,2023-12-15,0.011694951801116184,0.0,0.01,0,1143,NaN,NaN,NaN,NaN,NaN
call,13.0,2023-12-15,0.010941178335870117,18.5,22.6,1,1,4.105882,1.0,-4.401534215730529e-14,-0.002579210130605318,2.0000002595584746e-5
put,14.0,2023-12-15,0.011694888381532218,0.0,0.02,0,4496,NaN,NaN,NaN,NaN,NaN
call,14.0,2023-12-15,0.0109412100456621,17.5,22.05,0,0,4.627148,1.0,-6.5444924828380505e-15,-0.0027776109098958954,2.000000239280469e-5
put,15.0,2023-12-15,0.010933599695585997,0.0,0.06,0,8826,3.235228,0.0,1.2869849368865361e-14,-0.0029760116891652823,2.000000247391671e-5
call,15.0,2023-12-15,0.0109412100456621,16.5,21.05,0,0,4.295829,1.0,1.2869849368865361e-14,-0.0029760116891652823,2.000000247391671e-5
put,16.0,2023-12-15,0.011694888381532218,0.0,0.02,0,5067,NaN,NaN,NaN,NaN,NaN
call,16.0,2023-12-15,0.0109412100456621,15.5,20.05,0,7,3.680614,1.0,-6.083366865604583e-15,-0.0031744124684337815,2.000000239280469e-5
put,17.0,2023-12-15,0.0109412100456621,0.0,0.01,0,740,2.555242,0.0,-4.401534215730529e-14,-0.0033728132476802033,2.0000002149468617e-5
call,17.0,2023-12-15,0.0109412100456621,14.5,19.05,0,1,3.406714,1.0,-4.401534215730529e-14,-0.0033728132476802033,2.0000002149468617e-5
put,18.0,2023-12-15,0.010955162354134957,0.0,0.33,0,4379,2.554459,0.0,-2.541973377631592e-14,-0.003571214026982263,2.0000002169746626e-5
call,18.0,2023-12-15,0.010949074074074075,13.5,18.2,0,0,3.972761,1.0,-2.541973377631592e-14,-0.003571214026982263,2.0000002169746626e-5
put,19.0,2023-12-15,0.011226788432267884,0.0,0.02,0,1705,NaN,NaN,NaN,NaN,NaN
call,19.0,2023-12-15,0.0109412100456621,12.5,17.1,0,5,2.532764,0.9999999999999991,-2.505674836682596e-14,-0.0037696148062512057,2.0000002068356593e-5
put,20.0,2023-12-15,0.011700120497209539,0.0,0.01,0,5638,NaN,NaN,NaN,NaN,NaN
call,20.0,2023-12-15,0.010949074074074075,11.5,16.0,0,577,2.320641,1.0,-3.4717537966810606e-14,-0.003968015585508667,2.000000190613255e-5
call,21.0,2023-12-15,0.01095316463723998,10.55,15.0,0,24,2.119147,1.0,-6.270909074603818e-14,-0.004166416364788426,2.0000001784464515e-5
put,21.0,2023-12-15,0.010941146626078133,0.0,0.15,0,7674,1.981127,0.0,-6.270909074603818e-14,-0.004166416364788426,2.0000001784464515e-5
put,22.0,2023-12-15,0.010958333333333334,0.0,0.06,0,26770,1.804157,-1.4e-15,-3.922798027424833e-14,-0.004364817144023588,2.0000000413915916e-5
call,22.0,2023-12-15,0.0109412100456621,9.55,14.1,0,836,2.234428,0.9999999999999986,-3.922798027424833e-14,-0.004364817144023588,2.0000000413915916e-5
put,23.0,2023-12-15,0.010957667427701673,0.0,0.5,0,25317,3.067403,0.0,9.153142632445996e-15,-0.0045632179233035695,2.0000000390920587e-5
call,23.0,2023-12-15,0.01095316463723998,8.55,13.05,0,174,1.744152,1.0,9.153142632445996e-15,-0.0045632179233035695,2.0000000390920587e-5
put,24.0,2023-12-15,0.011610572044647388,0.0,0.01,12,12552,NaN,NaN,NaN,NaN,NaN
call,24.0,2023-12-15,0.010949074074074075,7.5,12.0,0,271,1.832946,0.9999999999999986,-2.9707315725853293e-15,-0.004761618702561031,2.0000000413915916e-5
call,24.5,2023-12-15,0.010949074074074075,7.0,11.6,0,0,1.736555,1.0,-2.710715609117404e-14,-0.004860819092184242,2.0000000413915916e-5
put,24.5,2023-12-15,0.010938102486047692,0.0,0.5,0,12,2.673046,0.0,-2.710715609117404e-14,-0.004860819092184242,2.0000000413915916e-5
put,25.0,2023-12-15,0.010978247082699137,0.0,0.01,1,35121,1.203376,-1.7e-15,1.3907982179268812e-14,-0.004960019481874573,1.9999999637236424e-5
call,25.0,2023-12-15,0.0109412100456621,6.55,11.1,0,610,2.059676,0.9999999999999983,1.3907982179268812e-14,-0.004960019481874573,1.9999999637236424e-5
call,25.5,2023-12-15,0.010949074074074075,6.0,10.55,0,0,1.5497,0.9999999999999772,9.478553293513638e-14,-0.0050592198715309,1.9999999410299563e-5
put,25.5,2023-12-15,0.010947139776763065,0.0,5.0,0,0,2.423988,-2.28e-14,9.478553293513638e-14,-0.0050592198715309,1.9999999410299563e-5
put,26.0,2023-12-15,0.010930650684931507,0.0,0.1,5,47446,1.162755,-4.3413e-12,2.1482675644394657e-11,-0.005158420266034806,2.000000318459859e-5
call,26.0,2023-12-15,0.010949074074074075,5.5,10.0,0,1324,1.459083,0.9999999999956587,2.1482675644394657e-11,-0.005158420266034806,2.000000318459859e-5
call,26.5,2023-12-15,0.0109412100456621,5.0,9.6,0,2,2.893395,0.9999999999793777,1.0385224311223045e-10,-0.005257620672307056,2.0000002736423384e-5
put,26.5,2023-12-15,0.010947139776763065,0.0,5.0,0,0,2.177143,-2.06223e-11,1.0385224311223045e-10,-0.005257620672307056,2.0000002736423384e-5
put,27.0,2023-12-15,0.0109583967529173,0.0,0.01,5,38138,0.924589,-4.3068092e-9,1.83436272244218e-8,-0.005356825218445888,2.0001048394691148e-5
call,27.0,2023-12-15,0.010949074074074075,4.5,9.0,0,8564,1.279425,0.9999999956931908,1.83436272244218e-8,-0.005356825218445888,2.0001048394691148e-5
put,27.5,2023-12-15,0.010957667427701673,0.0,5.0,0,0,1.937737,-1.60814186e-8,6.932922754953228e-8,-0.005456035775889295,2.000355587771034e-5
call,27.5,2023-12-15,0.0109412100456621,4.0,8.6,0,0,1.191105,0.9999999839185814,6.932922754953228e-8,-0.005456035775889295,2.000355587771034e-5
put,28.0,2023-12-15,0.01093363140537798,0.0,0.14,40,35041,1.257767,-1.7854314313e-6,6.091336594023935e-6,-0.005556695280184015,2.02747002369395e-5
call,28.0,2023-12-15,0.010949074074074075,3.55,8.0,0,31300,1.104429,0.9999982145685687,6.091336594023935e-6,-0.005556695280184015,2.02747002369395e-5
put,28.5,2023-12-15,0.010957667427701673,0.0,0.5,0,0,1.698494,-1.9368324706e-6,7.250206823846677e-6,-0.0056558706477338955,2.027486654759408e-5
call,28.5,2023-12-15,0.0109412100456621,3.0,7.3,0,0,1.017832,0.9999980631675294,7.250206823846677e-6,-0.0056558706477338955,2.027486654759408e-5
put,29.0,2023-12-15,0.010958713850837139,0.0,0.02,13,58776,0.72852,-6.95378528727e-5,0.0002029456860988939,-0.00580104033914403,2.9489130837820777e-5
call,29.0,2023-12-15,0.010945649416539827,2.5,7.0,0,30671,0.931312,0.9999304621471273,0.0002029456860988939,-0.00580104033914403,2.9489130837820777e-5
put,29.5,2023-12-15,0.010939307458143074,0.0,0.5,0,2011,1.463576,-9.5157743028e-5,0.0003011026384532252,-0.005910541487467865,3.417748933834582e-5
call,29.5,2023-12-15,0.01094415905631659,2.0,6.6,0,0,0.952597,0.999904842256972,0.0003011026384532252,-0.005910541487467865,3.417748933834582e-5
put,30.0,2023-12-15,0.011490582191780821,0.0,0.01,1,56114,NaN,NaN,NaN,NaN,NaN
call,30.0,2023-12-15,0.010948661846778285,1.5,4.55,6,29759,0.761561,0.9962963205480945,0.007278007101566823,-0.00801943758327146,0.0003944240621000406
call,30.5,2023-12-15,0.0109412100456621,1.02,5.5,1,21,0.676244,0.9897116297672489,0.018099928124003028,-0.011132410128972306,0.0010439303195588097
put,30.5,2023-12-15,0.011694222475900557,0.0,0.01,10,2547,NaN,NaN,NaN,NaN,NaN
put,31.0,2023-12-15,0.010930650684931507,0.0,0.17,111,37362,0.441734,-0.023694459762736,0.037736828904260854,-0.016332732094511734,0.0019726506553038874
call,31.0,2023-12-15,0.010949074074074075,0.51,5.0,18,72991,0.676892,0.976305540237264,0.037736828904260854,-0.016332732094511734,0.0019726506553038874
call,31.5,2023-12-15,0.010949074074074075,0.0,4.75,0,730,0.635944,0.9531226836732306,0.06875583933209618,-0.023427527946853245,0.003423744943420627
put,31.5,2023-12-15,0.0109412100456621,0.0,0.23,11,2671,0.417083,-0.0468773163267694,0.06875583933209618,-0.023427527946853245,0.003423744943420627
put,32.0,2023-12-15,0.0109412100456621,0.0,0.25,3072,57374,0.363365,-0.0895476652993273,0.11745544229552034,-0.03376094763041626,0.00542497801918456
call,32.0,2023-12-15,0.0109412100456621,1.6,4.15,34,36525,0.45075,0.9104523347006727,0.11745544229552034,-0.03376094763041626,0.00542497801918456
