option_type,strike,expiration_date,yearstoexp,bid,ask,volume,open_interest,mid_iv,delta,gamma,theta,vega
call,85.0,2024-03-15,0.008333650431253172,111.8,114.25,0,0,5.578141,0.999999999999986,-2.1951061386630596e-14,-0.02045400361387835,1.9999999174499706e-5
put,85.0,2024-03-15,0.00907312278031456,0.0,0.01,0,0,NaN,NaN,NaN,NaN,NaN
put,90.0,2024-03-15,0.00907312278031456,0.0,0.01,0,0,NaN,NaN,NaN,NaN,NaN
call,90.0,2024-03-15,0.008333555301877219,107.05,109.85,0,0,5.477029,1.0000000000000016,-5.098099142063104e-15,-0.02165718029709673,1.9999999174499706e-5
put,95.0,2024-03-15,0.008901985032978184,0.0,0.01,0,2,NaN,NaN,NaN,NaN,NaN
call,95.0,2024-03-15,0.008333840690005074,101.25,104.85,0,0,0.0,1.0000000000000042,-1.3709140109910276e-14,-0.02286035698019527,2.0000000275166766e-5
put,100.0,2024-03-15,0.00907312278031456,0.0,0.01,0,0,NaN,NaN,NaN,NaN,NaN
call,100.0,2024-03-15,0.008333491882293253,96.45,99.3,0,0,4.650655,1.0000000000000067,-3.892526796389282e-14,-0.024063533663413655,2.0e-5
put,105.0,2024-03-15,0.009031646372399798,0.0,0.01,0,0,NaN,NaN,NaN,NaN,NaN
call,105.0,2024-03-15,0.008333618721461187,91.3,94.85,0,0,4.285344,1.0000000000000016,-2.1951061386630596e-14,-0.02526671034663204,2.0000000275166766e-5
put,110.0,2024-03-15,0.00907312278031456,0.0,0.01,0,5,NaN,NaN,NaN,NaN,NaN
call,110.0,2024-03-15,0.008333745560629123,87.35,89.45,0,2,4.143406,0.9999999999999842,-1.1557373189635278e-14,-0.02646988703020756,1.999999807262291e-5
put,115.0,2024-03-15,0.008941749112125825,0.0,0.01,0,0,NaN,NaN,NaN,NaN,NaN
call,115.0,2024-03-15,0.008333523592085236,81.25,84.3,0,0,3.87326,1.0000000000000084,-2.8042624144634095e-14,-0.02767306371319099,1.9999998347962496e-5
put,120.0,2024-03-15,0.009047818366311517,0.0,0.05,0,2,NaN,NaN,NaN,NaN,NaN
call,120.0,2024-03-15,0.008333745560629123,77.1,78.9,0,0,3.255219,1.0000000000000033,-1.1183528392241275e-14,-0.028876240396526847,1.999999889864166e-5
put,125.0,2024-03-15,0.00833330162354135,0.0,0.37,0,50,2.619733,8.4e-15,-2.8287960744741975e-14,-0.03007941707962539,1.999999889864166e-5
call,125.0,2024-03-15,0.008333745560629123,72.25,74.8,0,0,3.549258,1.0000000000000084,-2.8287960744741975e-14,-0.03007941707962539,1.999999889864166e-5
put,130.0,2024-03-15,0.009075152207001521,0.0,0.01,0,206,NaN,NaN,NaN,NaN,NaN
call,130.0,2024-03-15,0.008333460172501268,67.2,69.35,0,9,3.073533,1.000000000000006,-1.967418551416555e-14,-0.03128259376260646,1.999999862330208e-5
put,135.0,2024-03-15,0.008873604769152714,0.0,0.02,0,364,NaN,NaN,NaN,NaN,NaN
call,135.0,2024-03-15,0.008333396752917301,62.3,64.15,0,0,2.734019,0.9999999999999983,5.556043913012799e-15,-0.03248577044612207,1.999999931165104e-5
put,140.0,2024-03-15,0.008352359208523593,0.0,0.05,0,177,1.550411,9.0e-16,-2.9364105396681753e-15,-0.033688947129280535,1.999999889864166e-5
call,140.0,2024-03-15,0.008333745560629123,57.15,59.1,0,11,2.490631,1.0000000000000009,-2.9364105396681753e-15,-0.033688947129280535,1.999999889864166e-5
put,145.0,2024-03-15,0.008333745560629123,0.0,0.16,12,347,1.639416,2.0e-15,-7.000207742385356e-15,-0.03489212381244018,1.999999986233021e-5
call,145.0,2024-03-15,0.008333682141045155,52.3,54.15,0,1,2.355739,1.000000000000002,-7.000207742385356e-15,-0.03489212381244018,1.999999986233021e-5
put,150.0,2024-03-15,0.008871955859969558,0.0,0.01,0,1602,NaN,NaN,NaN,NaN,NaN
call,150.0,2024-03-15,0.008333745560629123,47.25,49.35,2,10,2.192251,1.0000000000000033,-1.1185774579778123e-14,-0.03609530049565857,2.000000027533958e-5
call,152.5,2024-03-15,0.008333840690005074,44.65,47.35,0,0,2.086754,1.0000000000000022,-7.182637766008666e-15,-0.03669688883726775,2.0000000137669795e-5
put,152.5,2024-03-15,0.008333840690005074,0.0,0.37,0,4,1.61257,2.2e-15,-7.182637766008666e-15,-0.03669688883726775,2.0000000137669795e-5
put,155.0,2024-03-15,0.008403190005073566,0.0,0.01,0,1797,0.957411,2.2e-15,-7.056824613039532e-15,-0.03729847717881821,2.0000000688348963e-5
call,155.0,2024-03-15,0.008333523592085236,41.55,44.85,0,29,2.284492,1.0000000000000022,-7.056824613039532e-15,-0.03729847717881821,2.0000000688348963e-5
put,160.0,2024-03-15,0.008333840690005074,0.0,0.03,33,3646,0.944772,5.6e-15,-2.1948816614245173e-14,-0.03850165386150087,2.0000003439584556e-5
call,160.0,2024-03-15,0.008333555301877219,37.2,39.7,0,49,1.547831,1.0000000000000056,-2.1948816614245173e-14,-0.03850165386150087,2.0000003439584556e-5
call,162.5,2024-03-15,0.008333428462709284,34.6,37.4,0,0,1.624267,0.9999999999999932,1.4208024951713809e-14,-0.039103242203231074,2.0000006653254216e-5
put,162.5,2024-03-15,0.008333777270421106,0.0,0.03,0,4,1.389654,-6.8e-15,1.4208024951713809e-14,-0.039103242203231074,2.0000006653254216e-5
put,165.0,2024-03-15,0.008333840690005074,0.0,0.03,8,1855,0.821095,-1.0e-16,-1.5486868728993463e-14,-0.03970483054537243,2.0000010077886135e-5
call,165.0,2024-03-15,0.008333745560629123,32.4,34.35,1,45,1.614264,0.9999999999999999,-1.5486868728993463e-14,-0.03970483054537243,2.0000010077886135e-5
put,167.5,2024-03-15,0.008333840690005074,0.0,0.03,0,7,0.7607,-3.59e-14,5.0115638663864994e-14,-0.04030641888659512,1.999999068861112e-5
call,167.5,2024-03-15,0.008333745560629123,29.7,31.45,0,12,1.413399,0.9999999999999641,5.0115638663864994e-14,-0.04030641888659512,1.999999068861112e-5
put,170.0,2024-03-15,0.008682267884322678,0.0,0.02,12,1855,NaN,NaN,NaN,NaN,NaN
call,170.0,2024-03-15,0.008333587011669204,27.1,29.1,15,259,1.300593,0.9999999999947874,5.2948599196087965e-12,-0.040908007246680235,1.9999994280459035e-5
call,172.5,2024-03-15,0.008333745560629123,24.1,26.5,0,12,1.188225,0.9999999995105595,4.6608368119502e-10,-0.04150959719439442,2.0000378893933703e-5
put,172.5,2024-03-15,0.00833330162354135,0.0,0.5,1,113,0.640488,-4.894405e-10,4.6608368119502e-10,-0.04150959719439442,2.0000378893933703e-5
put,175.0,2024-03-15,0.008333365043125316,0.01,0.04,12,1392,0.54753,-3.02953338e-8,2.666354134844325e-8,-0.042111277575733165,2.0017872287702246e-5
call,175.0,2024-03-15,0.008333523592085236,21.95,23.9,7,913,1.228167,0.9999999697046662,2.666354134844325e-8,-0.042111277575733165,2.0017872287702246e-5
call,177.5,2024-03-15,0.008333587011669204,19.35,21.75,0,62,0.74875,0.9999990780188152,7.473078149025889e-7,-0.04271538779641251,2.0503639587255885e-5
put,177.5,2024-03-15,0.008445554287163877,0.0,0.03,2,753,0.522517,-9.219811848e-7,7.473078149025889e-7,-0.04271538779641251,2.0503639587255885e-5
put,180.0,2024-03-15,0.008351281075596144,0.0,0.08,58,6271,0.463505,-1.75979795279e-5,1.2971312879159062e-5,-0.04335965147403398,2.894542155485564e-5
call,180.0,2024-03-15,0.008333745560629123,17.5,18.8,85,4441,0.613171,0.9999824020204721,1.2971312879159062e-5,-0.04335965147403398,2.894542155485564e-5
call,182.5,2024-03-15,0.008333587011669204,14.95,16.4,0,530,0.654067,0.9997947941148667,0.00013633827244951218,-0.04438653917476227,0.00012300845873416564
put,182.5,2024-03-15,0.008333460172501268,0.0,0.08,10,779,0.404742,-0.0002052058851333,0.00013633827244951218,-0.04438653917476227,0.00012300845873416564
put,185.0,2024-03-15,0.00833380898021309,0.0,0.11,192,4079,0.37242,-0.0016362562544002,0.0009632228278512067,-0.047803997657276304,0.0008077367382885317
call,185.0,2024-03-15,0.008333396752917301,11.75,13.85,106,3681,0.490003,0.9983637437455998,0.0009632228278512067,-0.047803997657276304,0.0008077367382885317
call,187.5,2024-03-15,0.008333428462709284,9.25,11.85,18,1288,0.450945,0.990090195535187,0.0049658437851960655,-0.062270452052829425,0.004098115603560028
put,187.5,2024-03-15,0.008333396752917301,0.01,0.07,469,3159,0.273772,-0.009909804464813,0.0049658437851960655,-0.062270452052829425,0.004098115603560028
put,190.0,2024-03-15,0.008333428462709284,0.07,0.09,1817,1816,0.263897,-0.0369234504469166,0.015932279289736742,-0.09855062132829176,0.013569471854304687
call,190.0,2024-03-15,0.008333365043125316,7.45,8.35,387,12523,0.367367,0.9630765495530834,0.015932279289736742,-0.09855062132829176,0.013569471854304687
