option_type,strike,expiration_date,yearstoexp,bid,ask,volume,open_interest,mid_iv,delta,gamma,theta,vega
put,100.0,2025-03-28,0.008333365043125316,0.0,0.01,1,870,0.0,-4.3e-15,-1.1149431900162564e-14,0.0,2.00000013007425e-5
call,100.0,2025-03-28,0.008333365043125316,122.75,124.75,0,42,4.888405,0.9999999999999957,-1.1149431900162564e-14,0.0,2.00000013007425e-5
put,110.0,2025-03-28,0.008333365043125316,0.0,0.01,2,892,2.55697,1.6e-15,-7.549884396266778e-15,0.0,2.000000072263472e-5
call,110.0,2025-03-28,0.008333365043125316,112.85,114.75,0,2,4.365714,1.0000000000000016,-7.549884396266778e-15,0.0,2.000000072263472e-5
put,120.0,2025-03-28,0.008333365043125316,0.0,0.01,0,675,2.259308,2.4e-15,-1.1232338103729223e-14,0.0,2.0000000144526946e-5
call,120.0,2025-03-28,0.008333365043125316,102.9,104.8,0,22,3.843856,1.0000000000000024,-1.1232338103729223e-14,0.0,2.0000000144526946e-5
call,130.0,2025-03-28,0.008333365043125316,92.8,94.8,0,1,3.441201,1.000000000000002,-9.32299487439638e-15,0.0,2.0000000578107777e-5
put,130.0,2025-03-28,0.00851322298325723,0.0,0.01,0,393,NaN,NaN,NaN,NaN,NaN
put,140.0,2025-03-28,0.008333365043125316,0.0,0.01,0,1216,1.731084,2.4e-15,-1.1122768626344274e-14,0.0,1.9999999855473057e-5
call,140.0,2025-03-28,0.008333365043125316,82.85,84.65,1,35,3.033112,1.0000000000000024,-1.1122768626344274e-14,0.0,1.9999999855473057e-5
put,145.0,2025-03-28,0.008333365043125316,0.0,0.01,0,4379,1.609055,-8.0e-16,-1.1149431900162564e-14,-2.4502500667479316e-29,2.0e-5
call,145.0,2025-03-28,0.008333365043125316,77.75,79.85,0,6,2.804592,0.9999999999999992,-1.1149431900162564e-14,-2.4502500667479316e-29,2.0e-5
put,150.0,2025-03-28,0.00833507737189244,0.0,0.01,0,6609,1.491214,1.6e-15,-7.549884396266778e-15,-1.037807352119423e-23,1.9999999566419167e-5
call,150.0,2025-03-28,0.008333365043125316,72.8,74.8,0,70,2.549063,1.0000000000000016,-7.549884396266778e-15,-1.037807352119423e-23,1.9999999566419167e-5
call,152.5,2025-03-28,0.008333365043125316,71.1,71.6,0,6,2.524811,1.0000000000000016,-7.65945387365173e-15,-1.8608619091802486e-21,1.9999999710946115e-5
put,152.5,2025-03-28,0.008333365043125316,0.0,0.01,10,101,1.433777,1.6e-15,-7.65945387365173e-15,-1.8608619091802486e-21,1.9999999710946115e-5
put,155.0,2025-03-28,0.008333365043125316,0.0,0.01,0,1722,1.377287,2.0e-15,-9.37632142203296e-15,-1.6392119858042117e-19,1.9999999421892226e-5
call,155.0,2025-03-28,0.008333365043125316,68.6,69.1,6,15,2.336682,1.000000000000002,-9.37632142203296e-15,-1.6392119858042117e-19,1.9999999421892226e-5
call,157.5,2025-03-28,0.008333365043125316,66.15,66.6,3,37,2.21604,1.0000000000000016,-7.549884396266778e-15,-1.2841494006217532e-17,1.9999999421892226e-5
put,157.5,2025-03-28,0.008333365043125316,0.0,0.01,0,224,1.321713,1.6e-15,-7.549884396266778e-15,-1.2841494006217532e-17,1.9999999421892226e-5
put,160.0,2025-03-28,0.008333365043125316,0.0,0.01,0,4343,1.267026,2.0e-15,-9.405901077963043e-15,-5.890907590819835e-16,1.9999999421892226e-5
call,160.0,2025-03-28,0.008333365043125316,63.65,64.1,0,86,2.097354,1.000000000000002,-9.405901077963043e-15,-5.890907590819835e-16,1.9999999421892226e-5
call,162.5,2025-03-28,0.008333365043125316,61.15,61.6,0,13,2.139336,0.999999999999985,-3.006497146155334e-15,-1.5153523435130416e-14,1.9999999421892226e-5
put,162.5,2025-03-28,0.00833507737189244,0.0,0.01,10,106,1.2132,-1.5e-14,-3.006497146155334e-15,-1.5153523435130416e-14,1.9999999421892226e-5
put,165.0,2025-03-28,0.008333365043125316,0.0,0.01,1,2298,1.160208,-2.608e-13,1.550500939512614e-13,-3.251942045791826e-13,1.9999999927736528e-5
call,165.0,2025-03-28,0.008333365043125316,58.65,59.1,0,26,1.824816,0.9999999999997392,1.550500939512614e-13,-3.251942045791826e-13,1.9999999927736528e-5
call,167.5,2025-03-28,0.008333365043125316,56.15,57.25,10,25,1.707761,0.9999999999950874,2.8930017744882762e-12,-6.3716905054650876e-12,2.0000004913916094e-5
put,167.5,2025-03-28,0.008333365043125316,0.0,0.01,1,1295,1.108039,-4.9126e-12,2.8930017744882762e-12,-6.3716905054650876e-12,2.0000004913916094e-5
put,170.0,2025-03-28,0.008352359208523593,0.0,0.01,3501,2725,1.05552,-6.09028e-11,3.439496180457918e-11,-8.324839061141618e-11,2.0000113020070165e-5
call,170.0,2025-03-28,0.008333365043125316,53.65,54.0,0,68,1.77234,0.9999999999390972,3.439496180457918e-11,-8.324839061141618e-11,2.0000113020070165e-5
call,172.5,2025-03-28,0.008333365043125316,51.15,51.5,32,21,1.803891,0.9999999993873071,3.3144265901209293e-10,-8.82735931726572e-10,2.0000966596201088e-5
put,172.5,2025-03-28,0.008352359208523593,0.0,0.01,1142,2191,1.003549,-6.126929e-10,3.3144265901209293e-10,-8.82735931726572e-10,2.0000966596201088e-5
put,175.0,2025-03-28,0.008333365043125316,0.0,0.02,3149,3531,1.018059,-5.720046e-9,2.941337037947165e-9,-8.75796006299996e-9,2.0006297472528402e-5
call,175.0,2025-03-28,0.008333365043125316,48.7,49.1,10,21,1.669984,0.999999994279954,2.941337037947165e-9,-8.75796006299996e-9,2.0006297472528402e-5
call,177.5,2025-03-28,0.008333365043125316,46.15,46.5,6,28,1.615583,0.9999999604923667,1.9374915978796402e-8,-6.397814730114244e-8,2.004019561685883e-5
put,177.5,2025-03-28,0.008333365043125316,0.01,0.02,353,2814,0.933132,-3.95076333e-8,1.9374915978796402e-8,-6.397814730114244e-8,2.004019561685883e-5
put,180.0,2025-03-28,0.008333365043125316,0.01,0.02,15,3200,0.901665,-2.477706366e-7,1.1532099156377172e-7,-4.263928223185533e-7,2.0207649881607365e-5
call,180.0,2025-03-28,0.008333365043125316,43.65,44.1,18,90,1.580779,0.9999997522293634,1.1532099156377172e-7,-4.263928223185533e-7,2.0207649881607365e-5
call,182.5,2025-03-28,0.008333365043125316,41.15,41.5,13,14,1.356524,0.9999987068612747,5.704696625777409e-7,-2.3671573971074037e-6,2.1605634296254295e-5
put,182.5,2025-03-28,0.008333365043125316,0.01,0.03,218,1555,0.850225,-1.2931387253e-6,5.704696625777409e-7,-2.3671573971074037e-6,2.1605634296254295e-5
put,185.0,2025-03-28,0.008333365043125316,0.02,0.03,64,2772,0.826126,-5.9874152271e-6,2.4960467468528265e-6,-1.1677848551812022e-5,2.4261346013374173e-5
call,185.0,2025-03-28,0.008333365043125316,38.7,39.1,14,94,1.281474,0.9999940125847729,2.4960467468528265e-6,-1.1677848551812022e-5,2.4261346013374173e-5
call,187.5,2025-03-28,0.008333365043125316,36.15,36.6,6,40,1.339901,0.9999754631798086,9.622022565051002e-6,-5.122955877370505e-5,4.487064295732935e-5
put,187.5,2025-03-28,0.008333365043125316,0.02,0.03,170,4647,0.797842,-2.45368201914e-5,9.622022565051002e-6,-5.122955877370505e-5,4.487064295732935e-5
put,190.0,2025-03-28,0.008333365043125316,0.02,0.03,388,4675,0.721134,-8.7800574389e-5,3.235116468156176e-5,-0.00019608802854682427,7.622878572081033e-5
call,190.0,2025-03-28,0.008333365043125316,33.65,34.1,3,162,1.298061,0.999912199425611,3.235116468156176e-5,-0.00019608802854682427,7.622878572081033e-5
call,192.5,2025-03-28,0.008333365043125316,31.15,31.6,0,130,1.199611,0.9997176818081625,9.726338272205036e-5,-0.0006775255213019844,0.0002593415510782294
put,192.5,2025-03-28,0.008333365043125316,0.02,0.03,318,4666,0.715843,-0.0002823181918375,9.726338272205036e-5,-0.0006775255213019844,0.0002593415510782294
call,195.0,2025-03-28,0.008333365043125316,28.65,29.15,18,348,1.047608,0.9991758679855621,0.0002641500504418998,-0.0021319539452964798,0.000509060847767952
put,195.0,2025-03-28,0.008333365043125316,0.03,0.04,634,5711,0.644117,-0.0008241320144379,0.0002641500504418998,-0.0021319539452964798,0.000509060847767952
call,197.5,2025-03-28,0.008333365043125316,26.15,26.65,19,139,0.844077,0.9978473505442754,0.00063977520241309,-0.006014460682300658,0.0012686859102539435
put,197.5,2025-03-28,0.008333365043125316,0.03,0.04,181,3496,0.600254,-0.0021526494557246,0.00063977520241309,-0.006014460682300658,0.0012686859102539435
put,200.0,2025-03-28,0.008333365043125316,0.04,0.05,638,10761,0.557276,-0.0048894767943263,0.0013552223282820048,-0.014630656697711018,0.002876855512416256
call,200.0,2025-03-28,0.008333365043125316,23.75,24.05,92,1454,0.721819,0.9951105232056737,0.0013552223282820048,-0.014630656697711018,0.002876855512416256
call,202.5,2025-03-28,0.008333365043125316,21.25,21.6,19,277,0.802255,0.9902905210496565,0.0025395601904483886,-0.03065364654720208,0.004753567691887379
put,202.5,2025-03-28,0.008333365043125316,0.05,0.06,584,5069,0.517359,-0.0097094789503435,0.0025395601904483886,-0.03065364654720208,0.004753567691887379
put,205.0,2025-03-28,0.008333365043125316,0.06,0.07,1732,8892,0.47026,-0.0183647257984878,0.0045069386806680725,-0.06140949423215621,0.009333116845827273
call,205.0,2025-03-28,0.008333365043125316,18.8,19.05,26,1477,0.589835,0.9816352742015122,0.0045069386806680725,-0.06140949423215621,0.009333116845827273
call,207.5,2025-03-28,0.008333365043125316,16.3,16.6,30,1083,0.545637,0.9669178961945152,0.007571760049449484,-0.11752472611437507,0.013913080966206047
put,207.5,2025-03-28,0.008333365043125316,0.07,0.08,1608,8789,0.422733,-0.0330821038054848,0.007571760049449484,-0.11752472611437507,0.013913080966206047
put,210.0,2025-03-28,0.008333365043125316,0.1,0.11,8877,16884,0.387885,-0.0534614921015655,0.011678235589934922,-0.18623993925180943,0.023330017684787405
call,210.0,2025-03-28,0.008333365043125316,13.85,14.1,1830,2565,0.433857,0.9465385078984345,0.011678235589934922,-0.18623993925180943,0.023330017684787405
call,212.5,2025-03-28,0.008333365043125316,11.4,11.65,1807,3983,0.342109,0.9179332173204541,0.017295699043405267,-0.23579331751563484,0.031403332761031355
put,212.5,2025-03-28,0.008333365043125316,0.14,0.15,5681,15401,0.351723,-0.0820667826795459,0.017295699043405267,-0.23579331751563484,0.031403332761031355
put,215.0,2025-03-28,0.008333365043125316,0.24,0.25,12700,9572,0.321419,-0.119200539330124,0.024910277742917236,-0.277405896846072,0.040581355425884855
call,215.0,2025-03-28,0.008333365043125316,9.0,9.25,1701,7070,0.325405,0.880799460669876,0.024910277742917236,-0.277405896846072,0.040581355425884855
call,217.5,2025-03-28,0.008333365043125316,6.75,6.9,8078,10374,0.310546,0.8301513335385039,0.03603592925704553,-0.3064027847510925,0.05037071362941158
put,217.5,2025-03-28,0.008333365043125316,0.43,0.46,10200,5660,0.29893,-0.1698486664614961,0.03603592925704553,-0.3064027847510925,0.05037071362941158
put,220.0,2025-03-28,0.008333365043125316,0.81,0.84,24354,5822,0.279435,-0.2506791319109056,0.053252042520577435,-0.3277645895362212,0.06447296659399582
call,220.0,2025-03-28,0.008333365043125316,4.65,4.75,21063,21706,0.287172,0.7493208680890944,0.053252042520577435,-0.3277645895362212,0.06447296659399582
call,222.5,2025-03-28,0.008333333333333333,2.9,2.95,48184,12097,0.272276,0.607590376920733,0.07538117002352276,-0.340941317288468,0.07797839801051012
put,222.5,2025-03-28,0.008333365043125316,1.52,1.56,21762,2079,0.265069,-0.392409623079267,0.07538117002352276,-0.340941317288468,0.07797839801051012
