option_type,strike,expiration_date,yearstoexp,bid,ask,volume,open_interest,mid_iv,delta,gamma,theta,vega
put,75.0,2023-12-15,0.011672628107559615,0.0,0.01,0,0,NaN,NaN,NaN,NaN,NaN
call,75.0,2023-12-15,0.010959094368340944,76.15,76.45,0,0,2.731365,1.0000000000000022,1.0695531711686164e-14,-0.020450857607721095,2.0000007354104998e-5
put,80.0,2023-12-15,0.0109595700152207,0.0,0.15,0,0,2.762571,-4.6e-15,-2.254134766193296e-14,-0.02181424811464201,2.0000006921510587e-5
call,80.0,2023-12-15,0.010958999238964992,71.15,71.4,0,1,2.474024,0.9999999999999954,-2.254134766193296e-14,-0.02181424811464201,2.0000006921510587e-5
call,85.0,2023-12-15,0.010958935819381024,66.1,66.85,0,1,2.411587,1.0000000000000009,4.186461831417116e-15,-0.023177638622009444,2.0000006488916177e-5
put,85.0,2023-12-15,0.0109595700152207,0.0,0.15,0,1,2.520915,9.0e-16,4.186461831417116e-15,-0.023177638622009444,2.0000006488916177e-5
put,90.0,2023-12-15,0.0109595700152207,0.0,0.15,0,0,2.293451,-2.3e-15,-5.922907975123396e-15,-0.02454102912910595,2.0000006380767573e-5
call,90.0,2023-12-15,0.010959030948756976,61.0,61.4,0,1,2.178146,0.9999999999999977,-5.922907975123396e-15,-0.02454102912910595,2.0000006380767573e-5
put,95.0,2023-12-15,0.0109595700152207,0.0,0.15,0,1,2.078624,-1.2e-15,-5.97258915505501e-15,-0.02590441963624835,2.0000006056321763e-5
call,95.0,2023-12-15,0.01095896752917301,55.9,56.6,0,1,1.957622,0.9999999999999988,-5.97258915505501e-15,-0.02590441963624835,2.0000006056321763e-5
put,100.0,2023-12-15,0.0109595700152207,0.0,0.15,0,3,1.875128,-2.2e-15,3.95565603857323e-17,-0.027267810143389862,1.9999996257659512e-5
call,100.0,2023-12-15,0.010958999238964992,50.9,51.9,0,2,1.748661,0.9999999999999978,3.95565603857323e-17,-0.027267810143389862,1.9999996257659512e-5
put,105.0,2023-12-15,0.011235698883815322,0.0,0.01,0,23,NaN,NaN,NaN,NaN,NaN
call,105.0,2023-12-15,0.010958935819381024,45.95,46.55,0,1,1.550112,0.9999999999999993,-3.431575988781288e-15,-0.028631200650577275,1.9999996147590677e-5
call,110.0,2023-12-15,0.010959030948756976,41.2,41.45,0,4559,1.360991,0.9999999999999993,-3.3288127436825104e-15,-0.02999459115776557,1.9999996587866026e-5
put,110.0,2023-12-15,0.010959538305428717,0.0,0.15,0,4473,1.488351,-7.0e-16,-3.3288127436825104e-15,-0.02999459115776557,1.9999996587866026e-5
put,115.0,2023-12-15,0.0109595700152207,0.0,0.15,0,1955,1.306387,0.0,3.95565603857323e-17,-0.031357981664952086,1.999999702814138e-5
call,115.0,2023-12-15,0.010959221207508878,36.2,36.45,0,1946,1.180455,1.0,3.95565603857323e-17,-0.031357981664952086,1.999999702814138e-5
put,120.0,2023-12-15,0.010976978691019787,0.0,0.01,0,64,0.805039,-7.778e-13,1.4219393602969433e-12,-0.0327213721766593,2.0000001504754368e-5
call,120.0,2023-12-15,0.010959126078132927,30.8,32.2,1,15,1.005933,0.9999999999992222,1.4219393602969433e-12,-0.0327213721766593,2.0000001504754368e-5
put,122.0,2023-12-15,0.0109595700152207,0.0,0.17,0,32,1.082071,-5.4897e-12,9.850440142121012e-12,-0.033266728405616154,1.999999966487163e-5
call,122.0,2023-12-15,0.010958935819381024,29.2,30.0,0,6,1.018827,0.9999999999945103,9.850440142121012e-12,-0.033266728405616154,1.999999966487163e-5
call,123.0,2023-12-15,0.010958999238964992,27.75,29.1,0,3,0.983587,0.9999999999545083,7.707644352283586e-11,-0.0335394067177796,2.0000076099023e-5
put,123.0,2023-12-15,0.0109595700152207,0.0,0.15,0,20,1.024712,-4.54917e-11,7.707644352283586e-11,-0.0335394067177796,2.0000076099023e-5
put,124.0,2023-12-15,0.0109595700152207,0.0,0.15,0,0,0.990843,-2.461576e-10,3.9865937347309035e-10,-0.03381208582056966,2.000032270374976e-5
call,124.0,2023-12-15,0.01095896752917301,27.2,27.7,0,3,0.948562,0.9999999997538424,3.9865937347309035e-10,-0.03381208582056966,2.000032270374976e-5
put,125.0,2023-12-15,0.010959538305428717,0.0,0.14,14,594,0.945372,-1.2736392e-9,1.96257474814405e-9,-0.03408476880977502,2.000123647787301e-5
call,125.0,2023-12-15,0.010958999238964992,26.15,26.45,0,3,0.838197,0.9999999987263608,1.96257474814405e-9,-0.03408476880977502,2.000123647787301e-5
put,126.0,2023-12-15,0.0109595700152207,0.0,0.17,0,0,0.941984,-4.3596926e-9,6.531797911385984e-9,-0.0343574607537318,2.0004457137111907e-5
call,126.0,2023-12-15,0.01095906265854896,24.85,25.55,0,0,0.879378,0.9999999956403074,6.531797911385984e-9,-0.0343574607537318,2.0004457137111907e-5
put,127.0,2023-12-15,0.0109595700152207,0.0,0.17,0,2,0.907687,-1.76667814e-8,2.529467391593149e-8,-0.034630195864651915,2.0023224290367076e-5
call,127.0,2023-12-15,0.01095931633688483,24.25,24.45,0,1,0.845212,0.9999999823332186,2.529467391593149e-8,-0.034630195864651915,2.0023224290367076e-5
put,128.0,2023-12-15,0.0109595700152207,0.0,0.17,0,2,0.87367,-7.14759768e-8,9.712860752918897e-8,-0.034903091143337096,2.0088679033952752e-5
call,128.0,2023-12-15,0.010959126078132927,23.25,23.75,0,1,0.740834,0.9999999285240232,9.712860752918897e-8,-0.034903091143337096,2.0088679033952752e-5
put,129.0,2023-12-15,0.0109595700152207,0.0,0.18,0,2,0.647924,-1.0343691199e-6,1.1752211440352031e-6,-0.03517941125118786,2.1176896548679415e-5
call,129.0,2023-12-15,0.010959126078132927,22.25,22.45,0,6,0.708904,0.9999989656308801,1.1752211440352031e-6,-0.03517941125118786,2.1176896548679415e-5
put,130.0,2023-12-15,0.0109595700152207,0.0,0.06,14,1640,0.680827,-2.257463348e-6,2.5194452088460737e-6,-0.035456335495775156,2.1965743286638334e-5
call,130.0,2023-12-15,0.01095931633688483,21.2,21.45,0,680,0.744372,0.999997742536652,2.5194452088460737e-6,-0.035456335495775156,2.1965743286638334e-5
put,131.0,2023-12-15,0.01095931633688483,0.0,0.22,12,13,0.592782,-4.555219339e-6,5.023401782364445e-6,-0.035736515245708284,2.4970942221854886e-5
call,131.0,2023-12-15,0.01095931633688483,20.25,20.45,0,2,0.711302,0.999995444780661,5.023401782364445e-6,-0.035736515245708284,2.4970942221854886e-5
put,132.0,2023-12-15,0.010959221207508878,0.0,0.2,0,13,0.76016,-6.762703418e-6,7.61503582020321e-6,-0.036015629100928884,2.759978036019217e-5
call,132.0,2023-12-15,0.010958999238964992,19.25,19.5,0,0,0.678498,0.999993237296582,7.61503582020321e-6,-0.036015629100928884,2.759978036019217e-5
put,133.0,2023-12-15,0.01095906265854896,0.0,0.24,28,85,0.536901,-6.39400266257e-5,5.8001108020887e-5,-0.03645928055128758,6.11222717448554e-5
call,133.0,2023-12-15,0.010959094368340944,18.25,18.45,7,3,0.645356,0.9999360599733743,5.8001108020887e-5,-0.03645928055128758,6.11222717448554e-5
put,134.0,2023-12-15,0.0109595700152207,0.0,0.13,3,57,0.636867,-7.16587274848e-5,6.858817192557542e-5,-0.0367441822343198,8.117297430923209e-5
call,134.0,2023-12-15,0.010959030948756976,17.25,17.65,10,1,0.61211,0.9999283412725152,6.858817192557542e-5,-0.0367441822343198,8.117297430923209e-5
put,135.0,2023-12-15,0.010959189497716895,0.01,0.35,17,1466,0.580634,-0.0001988406751735,0.0001753794557452644,-0.03734360698984253,0.00014924143033795127
call,135.0,2023-12-15,0.010959189497716895,16.25,16.45,6,221,0.579129,0.9998011593248265,0.0001753794557452644,-0.03734360698984253,0.00014924143033795127
call,136.0,2023-12-15,0.010959094368340944,15.25,15.6,0,82,0.546413,0.9992288076223583,0.0005780511609682277,-0.03899606697782364,0.0005216656360994261
put,136.0,2023-12-15,0.010959506595636733,0.01,0.06,3,295,0.449706,-0.0007711923776417,0.0005780511609682277,-0.03899606697782364,0.0005216656360994261
put,137.0,2023-12-15,0.010959506595636733,0.0,0.04,0,497,0.444305,-0.0013939014366473,0.0010040475532706694,-0.040585556856967075,0.0009436722156454572
call,137.0,2023-12-15,0.01095896752917301,14.25,14.45,0,94,0.513962,0.9986060985633527,0.0010040475532706694,-0.040585556856967075,0.0009436722156454572
put,138.0,2023-12-15,0.010959348046676814,0.01,0.05,10,154,0.389223,-0.0031141982423398,0.0020317283402543494,-0.04431913690361936,0.0016567131485604773
call,138.0,2023-12-15,0.01095906265854896,13.25,13.55,1,96,0.481345,0.9968858017576602,0.0020317283402543494,-0.04431913690361936,0.0016567131485604773
put,139.0,2023-12-15,0.010959030948756976,0.01,0.04,3,201,0.355433,-0.0058896167384823,0.0035569906222487416,-0.04963092084642605,0.002793447270685035
call,139.0,2023-12-15,0.01095896752917301,12.25,12.45,0,1003,0.448381,0.9941103832615177,0.0035569906222487416,-0.04963092084642605,0.002793447270685035
put,140.0,2023-12-15,0.010959474885844749,0.02,0.04,190,1922,0.341838,-0.0096607204312096,0.005546230100917628,-0.055915841211019765,0.004515273837394347
call,140.0,2023-12-15,0.010958999238964992,11.3,11.5,85,1626,0.415691,0.9903392795687904,0.005546230100917628,-0.055915841211019765,0.004515273837394347
put,141.0,2023-12-15,0.010958999238964992,0.01,0.04,1,269,0.330417,-0.0156667415760432,0.008482563878497452,-0.06487075433140986,0.007012153407145422
call,141.0,2023-12-15,0.010958999238964992,10.3,10.65,21,116,0.383277,0.9843332584239568,0.008482563878497452,-0.06487075433140986,0.007012153407145422
put,142.0,2023-12-15,0.010959094368340944,0.01,0.1,75,165,0.306942,-0.0259006128506116,0.012921474932113526,-0.07866145395246524,0.010469995876097992
call,142.0,2023-12-15,0.010959189497716895,9.3,9.5,29,449,0.350752,0.9740993871493884,0.012921474932113526,-0.07866145395246524,0.010469995876097992
put,143.0,2023-12-15,0.010959094368340944,0.03,0.05,24,356,0.279616,-0.0397011702761277,0.018487186458568557,-0.0946019201636398,0.01499443619121479
call,143.0,2023-12-15,0.010959221207508878,8.3,8.5,32,297,0.347342,0.9602988297238723,0.018487186458568557,-0.0946019201636398,0.01499443619121479
put,144.0,2023-12-15,0.010959030948756976,0.05,0.1,12,164,0.276999,-0.0562361276700163,0.025052689956813395,-0.11017034334624984,0.020591754554449445
call,144.0,2023-12-15,0.01095896752917301,7.35,7.65,44,487,0.312251,0.9437638723299837,0.025052689956813395,-0.11017034334624984,0.020591754554449445
put,145.0,2023-12-15,0.010959030948756976,0.07,0.1,232,3644,0.255784,-0.0798887832339936,0.033541075393454335,-0.12913182724655314,0.023862970971979
