option_type,strike,expiration_date,yearstoexp,bid,ask,volume,open_interest,mid_iv,delta,gamma,theta,vega
put,80.0,2023-12-15,0.010958935819381024,0.0,0.25,0,0,3.369917,-3.6e-15,-1.3250778123679668e-14,-0.012135163437445414,1.9999991234438415e-5
call,80.0,2023-12-15,0.010959157787924912,87.9,88.75,0,0,4.091919,0.9999999999999964,-1.3250778123679668e-14,-0.012135163437445414,1.9999991234438415e-5
call,85.0,2023-12-15,0.010959252917300863,83.05,83.7,0,7,3.135641,0.9999999999999997,-2.9882936034842452e-15,-0.012893611152207708,1.9999991536699158e-5
put,85.0,2023-12-15,0.010959094368340944,0.0,0.25,0,0,3.121678,-3.0e-16,-2.9882936034842452e-15,-0.012893611152207708,1.9999991536699158e-5
put,90.0,2023-12-15,0.01098795027904617,0.0,0.05,0,2,2.34735,9.0e-16,7.454889165347326e-15,-0.013652058867146615,1.9999992745742135e-5
call,90.0,2023-12-15,0.010958999238964992,78.0,78.8,0,5,2.972145,1.0000000000000009,7.454889165347326e-15,-0.013652058867146615,1.9999992745742135e-5
put,95.0,2023-12-15,0.010977612886859462,0.0,0.06,0,0,2.206562,-2.9e-15,-2.41207872629452e-14,-0.014410506581820604,1.9999993350263627e-5
call,95.0,2023-12-15,0.01095906265854896,73.2,73.9,0,4,2.661207,0.9999999999999971,-2.41207872629452e-14,-0.014410506581820604,1.9999993350263627e-5
put,100.0,2023-12-15,0.01169482496194825,0.0,0.05,0,16,NaN,NaN,NaN,NaN,NaN
call,100.0,2023-12-15,0.01095896752917301,68.05,68.8,0,4,2.739428,0.9999999999999997,-2.7185063641412475e-15,-0.015168954296671203,1.9999993954785112e-5
put,105.0,2023-12-15,0.010958999238964992,0.0,0.26,0,11,2.255396,-3.6e-15,-2.928701125433171e-14,-0.0159274020114335,1.9999994257045858e-5
call,105.0,2023-12-15,0.01095896752917301,63.0,64.0,0,1,2.678118,0.9999999999999964,-2.928701125433171e-14,-0.0159274020114335,1.9999994257045858e-5
put,110.0,2023-12-15,0.010959126078132927,0.0,0.07,0,5,1.713966,-3.0e-16,-3.145332734575217e-15,-0.01668584972637329,1.999999501269772e-5
call,110.0,2023-12-15,0.01095896752917301,58.15,59.05,0,2,2.37586,0.9999999999999997,-3.145332734575217e-15,-0.01668584972637329,1.999999501269772e-5
put,115.0,2023-12-15,0.010958999238964992,0.0,0.07,0,28,1.551238,-1.0e-15,-8.44544368453648e-15,-0.017444297441135587,1.999999576834958e-5
call,115.0,2023-12-15,0.010958999238964992,53.2,53.8,0,1,1.902359,0.999999999999999,-8.44544368453648e-15,-0.017444297441135587,1.999999576834958e-5
call,120.0,2023-12-15,0.010958935819381024,47.9,48.75,0,1,1.845817,0.9999999999999971,-2.4199306828490686e-14,-0.018202745155942033,1.9999996221740697e-5
put,120.0,2023-12-15,0.010959126078132927,0.0,0.07,0,41,1.395574,-2.9e-15,-2.4199306828490686e-14,-0.018202745155942033,1.9999996221740697e-5
put,125.0,2023-12-15,0.010958999238964992,0.0,0.27,0,2689,1.519666,-1.7e-15,-1.3677604494113629e-14,-0.01896119287074937,1.9999997279653305e-5
call,125.0,2023-12-15,0.010958999238964992,42.9,43.75,0,2248,1.6912,0.9999999999999983,-1.3677604494113629e-14,-0.01896119287074937,1.9999997279653305e-5
put,129.0,2023-12-15,0.010958999238964992,0.0,1.27,0,0,1.919371,-3.0e-16,-3.223852300120691e-15,-0.019567951042647865,1.9999997279653305e-5
call,129.0,2023-12-15,0.010959189497716895,39.2,40.15,0,2,1.470459,0.9999999999999997,-3.223852300120691e-15,-0.019567951042647865,1.9999997279653305e-5
put,130.0,2023-12-15,0.01169482496194825,0.0,0.02,0,629,NaN,NaN,NaN,NaN,NaN
call,130.0,2023-12-15,0.01095896752917301,37.85,39.05,0,14,1.396969,0.9999999999999997,-3.145332734575217e-15,-0.019719640585645896,1.9999997279653305e-5
put,131.0,2023-12-15,0.010958999238964992,0.0,0.07,0,0,1.068922,-2.2e-15,-1.875473949479329e-14,-0.019871330128508807,1.9999997430783678e-5
call,131.0,2023-12-15,0.010959189497716895,37.0,37.8,0,1,1.549742,0.9999999999999978,-1.875473949479329e-14,-0.019871330128508807,1.9999997430783678e-5
put,132.0,2023-12-15,0.010958999238964992,0.0,1.27,0,0,1.792062,-1.7e-15,-1.3667035068952266e-14,-0.02002301967150595,1.9999997279653305e-5
call,132.0,2023-12-15,0.010959348046676814,36.2,36.85,0,1,1.289023,0.9999999999999983,-1.3667035068952266e-14,-0.02002301967150595,1.9999997279653305e-5
