option_type,strike,expiration_date,yearstoexp,bid,ask,volume,open_interest,mid_iv,delta,gamma,theta,vega
put,80.0,2025-03-28,0.008413812785388127,0.0,0.01,0,125,0.0,-6.0e-16,-6.769918397298629e-16,0.0,1.9999994900258656e-5
call,80.0,2025-03-28,0.008333555301877219,123.4,125.05,1,5,5.427443,0.9999999999999994,-6.769918397298629e-16,0.0,1.9999994900258656e-5
put,90.0,2025-03-28,0.009017757483510908,0.0,0.01,0,11,NaN,NaN,NaN,NaN,NaN
call,90.0,2025-03-28,0.008333587011669204,113.4,115.1,0,1,5.064757,0.9999999999999999,-1.2390568924568757e-16,-3.734197487695489e-23,1.9999995537726325e-5
put,100.0,2025-03-28,0.00833330162354135,0.0,0.01,0,1744,2.572534,-1.0e-16,-1.5375974877675481e-16,-5.739223847170472e-17,1.9999996316853474e-5
call,100.0,2025-03-28,0.008333587011669204,103.4,105.1,0,3,4.379337,0.9999999999999999,-1.5375974877675481e-16,-5.739223847170472e-17,1.9999996316853474e-5
put,110.0,2025-03-28,0.00833330162354135,0.0,0.01,0,2607,2.245759,-3.673e-13,2.133704850809673e-13,-1.518361759634314e-12,1.9999997308469847e-5
call,110.0,2025-03-28,0.008333523592085236,93.4,94.95,1,2,3.762696,0.9999999999996327,2.133704850809673e-13,-1.518361759634314e-12,1.9999997308469847e-5
put,115.0,2025-03-28,0.00833330162354135,0.0,0.01,0,205,2.093595,-1.70044e-11,8.627033295888888e-12,-6.980823260398272e-11,2.000003364412693e-5
call,115.0,2025-03-28,0.008333618721461187,88.4,89.95,0,0,3.51828,0.9999999999829956,8.627033295888888e-12,-6.980823260398272e-11,2.000003364412693e-5
put,120.0,2025-03-28,0.00833330162354135,0.0,0.01,452,595,1.945216,-5.339816e-10,2.433672700732604e-10,-2.2827349379155947e-9,2.0001110468677775e-5
call,120.0,2025-03-28,0.008333365043125316,83.4,84.95,0,4,3.284648,0.9999999994660184,2.433672700732604e-10,-2.2827349379155947e-9,2.0001110468677775e-5
put,125.0,2025-03-28,0.008333365043125316,0.01,0.02,180,1001,1.861453,-1.10204376e-8,4.508860228069759e-9,-4.932500794059191e-8,2.001743020761828e-5
call,125.0,2025-03-28,0.008333365043125316,78.4,79.95,0,12,2.980085,0.9999999889795624,4.508860228069759e-9,-4.932500794059191e-8,2.001743020761828e-5
put,126.0,2025-03-28,0.00849730466768138,0.0,0.02,0,7,NaN,NaN,NaN,NaN,NaN
call,126.0,2025-03-28,0.008333365043125316,77.4,78.95,0,0,3.017262,0.9999999821618792,7.183564450186042e-9,-8.040721778036525e-8,2.0032873286855702e-5
put,127.0,2025-03-28,0.008352359208523593,0.0,0.04,20,0,1.995923,-3.16680596e-8,1.2441599153812469e-8,-1.443722266449787e-7,2.0055994026687355e-5
call,127.0,2025-03-28,0.008333365043125316,76.4,77.95,0,0,2.973983,0.9999999683319404,1.2441599153812469e-8,-1.443722266449787e-7,2.0055994026687355e-5
put,128.0,2025-03-28,0.008333365043125316,0.0,0.08,0,7,2.124488,-5.14272015e-8,1.985461460488973e-8,-2.3629004902857373e-7,2.005624398484298e-5
call,128.0,2025-03-28,0.008333365043125316,75.4,76.95,0,1,2.931057,0.9999999485727985,1.985461460488973e-8,-2.3629004902857373e-7,2.005624398484298e-5
put,129.0,2025-03-28,0.008333365043125316,0.0,0.16,0,0,2.284854,-7.58796705e-8,2.8956514956526345e-8,-3.5049310665740927e-7,2.0102617539633702e-5
call,129.0,2025-03-28,0.008333491882293253,74.4,75.95,0,0,2.888475,0.9999999241203295,2.8956514956526345e-8,-3.5049310665740927e-7,2.0102617539633702e-5
put,130.0,2025-03-28,0.00833330162354135,0.01,0.02,12,328,1.72065,-1.429975257e-7,5.2800053262548764e-8,-6.710414063366183e-7,2.0171138890784077e-5
call,130.0,2025-03-28,0.008333365043125316,73.4,74.95,0,54,2.846234,0.9999998570024743,5.2800053262548764e-8,-6.710414063366183e-7,2.0171138890784077e-5
put,131.0,2025-03-28,0.008333365043125316,0.01,0.11,1,10,1.874109,-2.246837671e-7,8.137580902233092e-8,-1.0642663799508125e-6,2.0302625380211243e-5
call,131.0,2025-03-28,0.008333365043125316,72.4,73.95,0,0,2.804328,0.9999997753162329,8.137580902233092e-8,-1.0642663799508125e-6,2.0302625380211243e-5
put,132.0,2025-03-28,0.008333365043125316,0.01,0.16,0,8,1.896794,-3.685260669e-7,1.303271400185392e-7,-1.7661307622517783e-6,2.0494014352258172e-5
call,132.0,2025-03-28,0.008333365043125316,71.4,72.95,0,10,2.762752,0.9999996314739331,1.303271400185392e-7,-1.7661307622517783e-6,2.0494014352258172e-5
put,133.0,2025-03-28,0.008333365043125316,0.01,0.16,0,4,2.146045,-4.719952348e-7,1.6678375120243488e-7,-2.2614546250773167e-6,2.049594603361995e-5
call,133.0,2025-03-28,0.008333523592085236,70.4,71.95,10,10,2.721501,0.9999995280047652,1.6678375120243488e-7,-2.2614546250773167e-6,2.049594603361995e-5
