option_type,strike,expiration_date,yearstoexp,bid,ask,volume,open_interest,mid_iv,delta,gamma,theta,vega
put,50.0,2025-03-28,0.009070427447995941,0.0,0.01,0,0,NaN,NaN,NaN,NaN,NaN
call,50.0,2025-03-28,0.008333872399797057,33.0,36.8,0,0,5.206917,1.0000000000000049,-7.001146241298847e-14,0.0,2.0000000954104856e-5
call,55.0,2025-03-28,0.008333777270421106,27.8,31.8,0,0,4.503816,1.0000000000000016,-2.677755938129984e-14,0.0,2.000000167346473e-5
put,55.0,2025-03-28,0.008334855403348555,0.0,0.18,0,0,1.972704,1.6e-15,-2.677755938129984e-14,0.0,2.000000167346473e-5
put,60.0,2025-03-28,0.008334633434804667,0.0,0.03,0,357,1.610095,-1.1e-15,-2.401502088715036e-14,-3.5554730374975918e-28,1.999999853227425e-5
call,60.0,2025-03-28,0.008333777270421106,23.0,26.8,0,0,3.787727,0.9999999999999989,-2.401502088715036e-14,-3.5554730374975918e-28,1.999999853227425e-5
put,65.0,2025-03-28,0.00833330162354135,0.0,0.01,200,408,1.122827,-7.9e-15,3.601834686433774e-15,-8.85691117000938e-16,2.00000030803847e-5
call,65.0,2025-03-28,0.008334601725012684,18.05,21.8,0,1,3.172622,0.9999999999999921,3.601834686433774e-15,-8.85691117000938e-16,2.00000030803847e-5
put,70.0,2025-03-28,0.008690861237950279,0.0,0.02,0,46,NaN,NaN,NaN,NaN,NaN
call,70.0,2025-03-28,0.008333523592085236,14.3,15.6,1,2,1.113767,0.9999999190931864,1.209326849832033e-7,-4.273791541118535e-8,2.002537589559645e-5
put,73.0,2025-03-28,0.008333333333333333,0.0,0.03,0,0,0.769911,-1.75801473266e-5,2.2148698208881e-5,-1.1280407167405344e-5,2.6182450809335663e-5
call,73.0,2025-03-28,0.008333587011669204,10.6,13.3,2,0,0.90084,0.9999824198526734,2.2148698208881e-5,-1.1280407167405344e-5,2.6182450809335663e-5
put,74.0,2025-03-28,0.008333777270421106,0.0,0.02,0,151,0.671176,-0.0001043877285067,0.00011922695744944423,-7.465361611846344e-5,5.1311692137037026e-5
call,74.0,2025-03-28,0.008333650431253172,10.55,11.0,1,3,0.831617,0.9998956122714933,0.00011922695744944423,-7.465361611846344e-5,5.1311692137037026e-5
put,75.0,2025-03-28,0.008333777270421106,0.0,0.03,3,861,0.613664,-0.0003841755313098,0.0004093567633486057,-0.00029558239297532564,0.00011292692400209182
call,75.0,2025-03-28,0.008333523592085236,8.65,10.0,0,0,0.835993,0.9996158244686902,0.0004093567633486057,-0.00029558239297532564,0.00011292692400209182
put,76.0,2025-03-28,0.008333333333333333,0.0,0.03,0,19,0.588677,-0.0011098861538041,0.0011189909338137267,-0.0009027223943565983,0.00027422261460385963
call,76.0,2025-03-28,0.008333650431253172,7.4,9.45,0,0,0.692056,0.9988901138461959,0.0011189909338137267,-0.0009027223943565983,0.00027422261460385963
put,77.0,2025-03-28,0.008333491882293253,0.0,0.02,29,53,0.476049,-0.0045082804630615,0.0039141861287085265,-0.004282640413901468,0.0010900924075400074
call,77.0,2025-03-28,0.008333587011669204,7.65,8.15,0,0,0.688038,0.9954917195369385,0.0039141861287085265,-0.004282640413901468,0.0010900924075400074
put,78.0,2025-03-28,0.008333745560629123,0.01,0.02,708,1190,0.417606,-0.011437893017382,0.00902175503323947,-0.011915413394825596,0.002272289924386967
call,78.0,2025-03-28,0.008333460172501268,5.75,7.1,1,1,0.614826,0.988562106982618,0.00902175503323947,-0.011915413394825596,0.002272289924386967
put,79.0,2025-03-28,0.008333365043125316,0.02,0.03,34,58,0.391481,-0.0229097064313217,0.017022842335336418,-0.025099165137956285,0.0043009712676238595
call,79.0,2025-03-28,0.008333777270421106,5.6,6.1,2,1,0.540082,0.9770902935686783,0.017022842335336418,-0.025099165137956285,0.0043009712676238595
put,80.0,2025-03-28,0.008333365043125316,0.03,0.04,274,1991,0.351566,-0.0442287149817272,0.03055634676225041,-0.05142362313923137,0.007468374921442445
call,80.0,2025-03-28,0.008333365043125316,4.4,4.9,19,4,0.414712,0.9557712850182728,0.03055634676225041,-0.05142362313923137,0.007468374921442445
call,81.0,2025-03-28,0.008333396752917301,3.75,4.05,7,338,0.425924,0.925565461751272,0.04971359857819155,-0.07825250845753816,0.010266612222177021
put,81.0,2025-03-28,0.008333396752917301,0.07,0.08,77,759,0.336562,-0.074434538248728,0.04971359857819155,-0.07825250845753816,0.010266612222177021
put,82.0,2025-03-28,0.008333333333333333,0.13,0.14,367,898,0.310439,-0.1214605215996635,0.07894605379998018,-0.09640843003273246,0.015274937954652871
call,82.0,2025-03-28,0.008333365043125316,2.76,2.99,309,34,0.262587,0.8785394784003365,0.07894605379998018,-0.09640843003273246,0.015274937954652871
put,83.0,2025-03-28,0.008333365043125316,0.23,0.26,994,959,0.283744,-0.1982054737731178,0.12416615445917797,-0.11349010618163584,0.0208124745572853
call,83.0,2025-03-28,0.008333365043125316,2.0,2.17,200,231,0.27679,0.8017945262268822,0.12416615445917797,-0.11349010618163584,0.0208124745572853
put,84.0,2025-03-28,0.008333396752917301,0.46,0.48,2999,1556,0.26631,-0.3345730733223242,0.18451667573285432,-0.1288954109323077,0.027358427879708748
call,84.0,2025-03-28,0.008333365043125316,1.24,1.33,582,432,0.262931,0.6654269266776758,0.18451667573285432,-0.1288954109323077,0.027358427879708748
put,85.0,2025-03-28,0.008333365043125316,0.87,0.89,3265,1893,0.256925,-0.5371476343349721,0.21442874329159847,-0.13282538168600697,0.03085131796063133
call,85.0,2025-03-28,0.008333365043125316,0.69,0.71,3190,712,0.252941,0.46285236566502785,0.21442874329159847,-0.13282538168600697,0.03085131796063133
put,86.0,2025-03-28,0.008333365043125316,1.48,1.56,2373,2742,0.251513,-0.7267008431402634,0.176355585149625,-0.11497527407272003,0.025567451162937894
call,86.0,2025-03-28,0.008333365043125316,0.32,0.33,6640,2024,0.248549,0.27329915685973655,0.176355585149625,-0.11497527407272003,0.025567451162937894
put,87.0,2025-03-28,0.008333365043125316,2.29,2.5,795,585,0.25277,-0.8512169067923183,0.11695963922095817,-0.08533384887215784,0.018544194550697928
call,87.0,2025-03-28,0.008333365043125316,0.12,0.13,6259,2374,0.249754,0.1487830932076817,0.11695963922095817,-0.08533384887215784,0.018544194550697928
put,88.0,2025-03-28,0.008333523592085236,2.38,3.35,148,470,0.341712,-0.92356406976984,0.06914352237465812,-0.05610258241821818,0.011430760108743094
call,88.0,2025-03-28,0.008333365043125316,0.06,0.07,5005,2791,0.274179,0.07643593023016008,0.06914352237465812,-0.05610258241821818,0.011430760108743094
put,89.0,2025-03-28,0.008333333333333333,4.2,4.35,252,257,0.372972,-0.9650983441991139,0.036323072549504905,-0.03127517874140154,0.005996759297133204
call,89.0,2025-03-28,0.008333365043125316,0.04,0.05,1329,2037,0.312662,0.034901655800886104,0.036323072549504905,-0.03127517874140154,0.005996759297133204
put,90.0,2025-03-28,0.008333555301877219,5.2,5.35,87,350,0.437568,-0.9855012792478657,0.017061256727619524,-0.01288980248760147,0.0033261287404674983
call,90.0,2025-03-28,0.008333365043125316,0.03,0.04,2350,3519,0.352739,0.014498720752134308,0.017061256727619524,-0.01288980248760147,0.0033261287404674983
put,91.0,2025-03-28,0.008333365043125316,6.2,6.35,46,264,0.498763,-0.9942044653401835,0.007498148894205976,-0.004847813104268947,0.0013123722557290519
call,91.0,2025-03-28,0.008333365043125316,0.02,0.03,205,1309,0.381517,0.00579553465981654,0.007498148894205976,-0.004847813104268947,0.0013123722557290519
put,92.0,2025-03-28,0.008333365043125316,7.2,7.45,5,178,0.559049,-0.9981576271525467,0.00268434700934408,-0.0014207109789792039,0.0005393602738015119
call,92.0,2025-03-28,0.008333365043125316,0.01,0.02,79,1440,0.431219,0.0018423728474532605,0.00268434700934408,-0.0014207109789792039,0.0005393602738015119
put,93.0,2025-03-28,0.008333745560629123,8.2,8.45,3,66,0.616328,-0.9993569959801076,0.00100466434023361,-0.00047374509545518604,0.00025085109662544903
call,93.0,2025-03-28,0.008333365043125316,0.0,0.03,60,594,0.459562,0.0006430040198923316,0.00100466434023361,-0.00047374509545518604,0.00025085109662544903
