option_type,strike,expiration_date,yearstoexp,bid,ask,volume,open_interest,mid_iv,delta,gamma,theta,vega
put,75.0,2024-12-13,0.008219209791983765,0.0,0.01,2,684,0.0,-1.0e-16,1.7216102963714152e-16,0.0,2.0000000753394653e-5
call,75.0,2024-12-13,0.008219241501775748,324.6,327.05,4,16,9.822229,0.9999999999999999,1.7216102963714152e-16,0.0,2.0000000753394653e-5
put,80.0,2024-12-13,0.008227105530187722,0.0,0.01,15,7,0.0,-1.0e-16,1.5230386092646462e-16,0.0,2.000000125565775e-5
call,80.0,2024-12-13,0.008219209791983765,319.55,323.15,0,1,9.53706,0.9999999999999999,1.5230386092646462e-16,0.0,2.000000125565775e-5
put,85.0,2024-12-13,0.008270865043125316,0.0,0.01,0,641,0.0,-3.0e-16,5.814958518221686e-16,0.0,2.00000010045262e-5
call,85.0,2024-12-13,0.008219241501775748,314.4,317.05,0,1,9.180488,0.9999999999999997,5.814958518221686e-16,0.0,2.00000010045262e-5
put,90.0,2024-12-13,0.008874112125824455,0.0,0.01,23,418,NaN,NaN,NaN,NaN,NaN
call,90.0,2024-12-13,0.008219209791983765,309.55,312.05,0,15,8.844681,0.9999999999999993,9.897223605552423e-16,0.0,2.0000000251131545e-5
put,95.0,2024-12-13,0.008262081430745815,0.0,0.01,0,18,0.0,-1.0e-16,1.585534793460391e-16,0.0,1.9999999497736904e-5
call,95.0,2024-12-13,0.008219209791983765,304.4,307.05,0,1,8.656685,0.9999999999999999,1.585534793460391e-16,0.0,1.9999999497736904e-5
put,100.0,2024-12-13,0.008262335109081684,0.0,0.01,0,79,0.0,4.0e-16,-6.85114638702313e-16,0.0,2.0e-5
call,100.0,2024-12-13,0.008219241501775748,299.55,302.1,0,64,8.358102,1.0000000000000004,-6.85114638702313e-16,0.0,2.0e-5
put,105.0,2024-12-13,0.008219368340943684,0.0,0.01,0,120,0.0,4.0e-16,-6.784116638538517e-16,0.0,1.999999974886845e-5
call,105.0,2024-12-13,0.008219241501775748,294.4,297.05,0,0,8.260267,1.0000000000000004,-6.784116638538517e-16,0.0,1.999999974886845e-5
put,110.0,2024-12-13,0.00821943176052765,0.0,0.01,0,22,0.0,-1.0e-16,1.7216102963714152e-16,0.0,2.0000000251131545e-5
call,110.0,2024-12-13,0.008219209791983765,289.55,292.05,0,3,7.649825,0.9999999999999999,1.7216102963714152e-16,0.0,2.0000000251131545e-5
put,115.0,2024-12-13,0.0082193366311517,0.0,0.01,1,289,0.0,9.0e-16,-1.5151752064595625e-15,0.0,1.9999999497736904e-5
call,115.0,2024-12-13,0.008219209791983765,284.4,287.05,0,2,7.752228,1.0000000000000009,-1.5151752064595625e-15,0.0,1.9999999497736904e-5
put,120.0,2024-12-13,0.0082193366311517,0.0,0.01,6,189,0.0,-3.0e-16,5.482327334145691e-16,0.0,1.9999999497736904e-5
call,120.0,2024-12-13,0.008219241501775748,279.55,282.1,0,183,7.499056,0.9999999999999997,5.482327334145691e-16,0.0,1.9999999497736904e-5
put,125.0,2024-12-13,0.00821917808219178,0.0,0.01,1,662,0.0,-7.0e-16,9.901757169841292e-16,0.0,1.999999974886845e-5
call,125.0,2024-12-13,0.008219241501775748,274.45,277.1,1,1,6.925723,0.9999999999999993,9.901757169841292e-16,0.0,1.999999974886845e-5
put,130.0,2024-12-13,0.008931697108066971,0.0,0.01,0,271,NaN,NaN,NaN,NaN,NaN
call,130.0,2024-12-13,0.008219241501775748,269.55,272.1,1,2,6.705042,0.9999999999999999,1.4605424250689023e-16,0.0,1.999999974886845e-5
put,135.0,2024-12-13,0.008270865043125316,0.0,0.01,0,96,0.0,-3.0e-16,5.87745470241743e-16,0.0,1.9999999246605354e-5
call,135.0,2024-12-13,0.008219241501775748,264.45,267.1,0,12,6.45913,0.9999999999999997,5.87745470241743e-16,0.0,1.9999999246605354e-5
put,140.0,2024-12-13,0.00887230466768138,0.0,0.01,0,993,NaN,NaN,NaN,NaN,NaN
call,140.0,2024-12-13,0.008219209791983765,259.55,262.1,0,0,6.483915,1.0000000000000002,-2.695301980977114e-16,0.0,1.9999999497736904e-5
put,145.0,2024-12-13,0.008219209791983765,0.0,0.01,0,333,0.0,4.0e-16,-7.017461979061126e-16,-1.315303699999973e-30,1.9999999246605354e-5
call,145.0,2024-12-13,0.008219241501775748,254.45,257.1,0,11,6.336659,1.0000000000000004,-7.017461979061126e-16,-1.315303699999973e-30,1.9999999246605354e-5
put,150.0,2024-12-13,0.00821917808219178,0.0,0.01,3,694,0.0,-2.0e-16,3.6679905607722673e-16,-2.1564181132712612e-27,1.9999999246605354e-5
call,150.0,2024-12-13,0.008219241501775748,249.05,252.1,8,39,0.0,0.9999999999999998,3.6679905607722673e-16,-2.1564181132712612e-27,1.9999999246605354e-5
put,155.0,2024-12-13,0.00821917808219178,0.0,0.01,1,328,0.0,-2.0e-16,3.700246655841038e-16,-3.687701666424355e-25,1.999999974886845e-5
call,155.0,2024-12-13,0.008219209791983765,244.8,247.1,0,14,0.0,0.9999999999999998,3.700246655841038e-16,-3.687701666424355e-25,1.999999974886845e-5
put,160.0,2024-12-13,0.008220700152207001,0.0,0.01,0,473,0.0,2.0e-16,-2.695301980977114e-16,-7.912848732214454e-23,1.9999999246605354e-5
call,160.0,2024-12-13,0.008219209791983765,239.45,242.15,1,29,5.638772,1.0000000000000002,-2.695301980977114e-16,-7.912848732214454e-23,1.9999999246605354e-5
put,165.0,2024-12-13,0.008226629883307966,0.0,0.01,0,205,0.0,4.0e-16,-6.85114638702313e-16,-3.2795799414509948e-21,1.999999912103958e-5
call,165.0,2024-12-13,0.008219241501775748,234.25,237.15,0,23,5.438747,1.0000000000000004,-6.85114638702313e-16,-3.2795799414509948e-21,1.999999912103958e-5
put,170.0,2024-12-13,0.00887728310502283,0.0,0.01,11,1116,NaN,NaN,NaN,NaN,NaN
