option_type,strike,expiration_date,yearstoexp,bid,ask,volume,open_interest,mid_iv,delta,gamma,theta,vega
put,75.0,2023-12-15,0.011593290208016235,0.0,0.01,0,0,NaN,NaN,NaN,NaN,NaN
call,75.0,2023-12-15,0.010958935819381024,80.35,81.6,0,2,3.472749,0.9999999999999946,4.259343877220846e-15,-0.011551182397720912,1.9999988193037683e-5
call,80.0,2023-12-15,0.010959094368340944,75.4,76.3,0,1,3.335923,0.9999999999999868,-8.38783093422522e-15,-0.012321261224046316,1.9999989504922386e-5
put,80.0,2023-12-15,0.011593290208016235,0.0,0.01,0,0,NaN,NaN,NaN,NaN,NaN
put,85.0,2023-12-15,0.011593290208016235,0.0,0.01,0,2,NaN,NaN,NaN,NaN,NaN
call,85.0,2023-12-15,0.01095896752917301,70.35,71.4,0,0,3.179278,1.0000000000000013,1.7107716088967944e-14,-0.013091340050638398,1.9999989504922386e-5
put,90.0,2023-12-15,0.011593290208016235,0.0,0.01,0,1,NaN,NaN,NaN,NaN,NaN
call,90.0,2023-12-15,0.010958935819381024,65.0,66.3,0,1,2.913201,1.0000000000000002,4.110410777484454e-15,-0.013861418877140408,1.9999989723569836e-5
put,95.0,2023-12-15,0.010960013952308473,0.0,0.06,0,13,1.948126,-4.6e-15,-3.940254355837612e-15,-0.01463149770369189,2.000000602418082e-5
call,95.0,2023-12-15,0.010958999238964992,60.0,61.3,0,0,2.60878,0.9999999999999954,-3.940254355837612e-15,-0.01463149770369189,2.000000602418082e-5
call,100.0,2023-12-15,0.010959030948756976,55.25,56.65,0,0,2.369486,1.0000000000000004,5.532418735872684e-15,-0.015401576530194784,2.0000005586058578e-5
put,100.0,2023-12-15,0.010959791983764587,0.0,0.18,0,34,1.631613,4.0e-16,5.532418735872684e-15,-0.015401576530194784,2.0000005586058578e-5
put,105.0,2023-12-15,0.010959791983764587,0.0,0.06,0,33,1.586131,7.0e-16,8.721473102487658e-15,-0.016171655356697682,2.0000005257466898e-5
call,105.0,2023-12-15,0.010958935819381024,50.2,51.45,0,0,2.370764,1.0000000000000007,8.721473102487658e-15,-0.016171655356697682,2.0000005257466898e-5
put,110.0,2023-12-15,0.010959791983764587,0.0,0.06,0,185,1.416276,-1.0e-16,-9.031719720415396e-16,-0.016941734183245613,2.0000004600283535e-5
call,110.0,2023-12-15,0.010958935819381024,45.05,46.35,0,0,1.728471,0.9999999999999999,-9.031719720415396e-16,-0.016941734183245613,2.0000004600283535e-5
put,115.0,2023-12-15,0.010960013952308473,0.0,0.07,0,131,1.279206,7.0e-16,8.674228098420346e-15,-0.017711813009703467,2.0000004490752972e-5
call,115.0,2023-12-15,0.010958935819381024,40.4,41.75,0,2,1.713131,1.0000000000000007,8.674228098420346e-15,-0.017711813009703467,2.0000004490752972e-5
put,120.0,2023-12-15,0.010959791983764587,0.0,0.07,0,527,1.118928,-4.0e-15,-2.4407953247933974e-14,-0.0184818918361631,2.0000002227274997e-5
call,120.0,2023-12-15,0.010959094368340944,35.35,36.5,0,12,1.808033,0.999999999999996,-2.4407953247933974e-14,-0.0184818918361631,2.0000002227274997e-5
