option_type,strike,expiration_date,yearstoexp,bid,ask,volume,open_interest,mid_iv,delta,gamma,theta,vega
put,105.0,2023-12-15,0.010958935819381024,0.0,0.01,0,3,0.0,-1.6e-15,-6.295865581493767e-15,-0.04068750262353636,2.0000000793315976e-5
call,105.0,2023-12-15,0.010958999238964992,146.6,148.2,0,2,4.013031,0.9999999999999984,-6.295865581493767e-15,-0.04068750262353636,2.0000000793315976e-5
put,110.0,2023-12-15,0.01156031202435312,0.0,0.01,0,12,NaN,NaN,NaN,NaN,NaN
call,110.0,2023-12-15,0.010959443176052765,141.15,143.4,0,39,3.489,1.0000000000000004,1.7235746028152186e-15,-0.04262500274875631,2.0000000793315976e-5
put,115.0,2023-12-15,0.01156031202435312,0.0,0.01,0,0,NaN,NaN,NaN,NaN,NaN
call,115.0,2023-12-15,0.010958999238964992,136.15,137.8,0,1,3.301183,1.0000000000000004,1.7829778634397298e-15,-0.044562502873615954,1.9999999603342018e-5
put,120.0,2023-12-15,0.011607432775240994,0.0,0.01,0,3,NaN,NaN,NaN,NaN,NaN
call,120.0,2023-12-15,0.010958999238964992,131.3,133.65,0,0,3.96088,1.0000000000000004,1.7244546475196184e-15,-0.04650000299829899,2.000000039665799e-5
put,125.0,2023-12-15,0.011607432775240994,0.0,0.01,0,41,NaN,NaN,NaN,NaN,NaN
call,125.0,2023-12-15,0.010958935819381024,126.25,127.8,1,1,2.949657,0.999999999999999,-4.216311680361216e-15,-0.04843750312334235,2.0000001189973963e-5
call,130.0,2023-12-15,0.010958935819381024,121.55,122.8,0,20,2.869667,1.000000000000002,7.812188927190264e-15,-0.050375003248472223,2.0000001983289938e-5
put,130.0,2023-12-15,0.011607432775240994,0.0,0.01,0,31,NaN,NaN,NaN,NaN,NaN
put,135.0,2023-12-15,0.011607432775240994,0.0,0.01,0,8,NaN,NaN,NaN,NaN,NaN
call,135.0,2023-12-15,0.010959030948756976,115.95,118.45,0,1,3.137321,1.0000000000000016,5.79247806595689e-15,-0.052312503373245334,2.000000257827692e-5
put,140.0,2023-12-15,0.010959221207508878,0.0,0.35,0,50,2.705626,-1.0e-16,-2.3673299779364436e-16,-0.054250003498108525,2.000000237994793e-5
call,140.0,2023-12-15,0.010958935819381024,111.35,112.85,0,2,2.555232,0.9999999999999999,-2.3673299779364436e-16,-0.054250003498108525,2.000000237994793e-5
put,145.0,2023-12-15,0.010977359208523592,0.0,0.02,0,26,1.842164,9.0e-16,3.772767204723516e-15,-0.05618750362323664,2.0000003569921883e-5
call,145.0,2023-12-15,0.010958999238964992,105.85,108.05,0,2,2.405885,1.0000000000000009,3.772767204723516e-15,-0.05618750362323664,2.0000003569921883e-5
put,150.0,2023-12-15,0.011020579654997463,0.0,0.02,0,69,1.736338,2.0e-15,7.812188927190264e-15,-0.05812500374818814,2.00000031732639e-5
call,150.0,2023-12-15,0.010958935819381024,101.15,103.05,0,4,2.261724,1.000000000000002,7.812188927190264e-15,-0.05812500374818814,2.00000031732639e-5
put,155.0,2023-12-15,0.011020579654997463,0.0,0.03,0,44,1.696388,1.3e-15,5.7040333300871896e-15,-0.06006250387305132,2.000000376825088e-5
call,155.0,2023-12-15,0.010959221207508878,96.45,98.9,1,12,2.122404,1.0000000000000013,5.7040333300871896e-15,-0.06006250387305132,2.000000376825088e-5
put,160.0,2023-12-15,0.010959221207508878,0.0,0.54,0,319,2.308499,-1.0e-16,-2.3673299779364436e-16,-0.062000003997822656,2.0000004561566855e-5
call,160.0,2023-12-15,0.010958935819381024,91.6,92.9,0,17,1.987609,0.9999999999999999,-2.3673299779364436e-16,-0.062000003997822656,2.0000004561566855e-5
put,165.0,2023-12-15,0.01095941146626078,0.0,0.08,0,414,1.660769,9.0e-16,3.802688724673104e-15,-0.06393750412286422,2.0000004363237858e-5
call,165.0,2023-12-15,0.010958935819381024,86.2,87.85,0,18,1.857055,1.0000000000000009,3.802688724673104e-15,-0.06393750412286422,2.0000004363237858e-5
put,170.0,2023-12-15,0.011233447488584476,0.0,0.01,12,508,NaN,NaN,NaN,NaN,NaN
call,170.0,2023-12-15,0.010959094368340944,81.45,83.55,2,15,2.003959,1.0000000000000009,3.832610244622692e-15,-0.06587500424781573,2.0000004958224842e-5
put,175.0,2023-12-15,0.0109595700152207,0.0,0.5,0,722,1.88436,9.0e-16,3.802688724673104e-15,-0.06781250437267715,2.0000005553211826e-5
call,175.0,2023-12-15,0.010959126078132927,76.65,77.95,0,83,2.11338,1.0000000000000009,3.802688724673104e-15,-0.06781250437267715,2.0000005553211826e-5
put,180.0,2023-12-15,0.01152181633688483,0.0,0.01,5,653,NaN,NaN,NaN,NaN,NaN
call,180.0,2023-12-15,0.01095896752917301,71.4,72.95,0,40,1.54562,1.000000000000002,7.84211044713985e-15,-0.06975000449762865,2.0000006743185784e-5
call,182.5,2023-12-15,0.010958935819381024,69.05,70.45,0,15,1.532603,1.0000000000000009,3.832610244622692e-15,-0.07071875456006024,2.0000006148198804e-5
put,182.5,2023-12-15,0.010959506595636733,0.0,0.95,0,9,1.919807,9.0e-16,3.832610244622692e-15,-0.07071875456006024,2.0000006148198804e-5
put,185.0,2023-12-15,0.011327942668696094,0.0,0.01,2,1686,NaN,NaN,NaN,NaN,NaN
