option_type,strike,expiration_date,yearstoexp,bid,ask,volume,open_interest,mid_iv,delta,gamma,theta,vega
put,60.0,2025-03-26,0.0028543252156265856,0.0,0.75,0,0,3.572512,-8.5645475326e-6,2.6905689920045915e-13,0.0,1.9999999823343606e-5
call,60.0,2025-03-26,0.002854103247082699,14.65,14.95,75,137,2.803564,0.9999914354524674,2.6905689920045915e-13,0.0,1.9999999823343606e-5
put,61.0,2025-03-26,0.0028543252156265856,0.0,0.75,0,0,3.372727,-8.5645475616e-6,-1.0539420661503819e-13,0.0,2.0000002758967464e-5
call,61.0,2025-03-26,0.0028539446981227803,11.9,15.3,0,0,3.151224,0.9999914354524384,-1.0539420661503819e-13,0.0,2.0000002758967464e-5
put,62.0,2025-03-26,0.002854008117706748,0.0,0.75,0,0,3.176288,-8.5645475525e-6,-7.340543495034162e-14,0.0,2.0000002610635878e-5
call,62.0,2025-03-26,0.0028542935058346016,10.7,14.55,0,0,3.650716,0.9999914354524475,-7.340543495034162e-14,0.0,2.0000002610635878e-5
put,63.0,2025-03-26,0.002856005834601725,0.0,0.75,0,0,2.981512,-8.5645475448e-6,-7.364418348972076e-14,0.0,2.000000249197061e-5
call,63.0,2025-03-26,0.0028542935058346016,9.75,13.6,0,0,3.651256,0.9999914354524552,-7.364418348972076e-14,0.0,2.000000249197061e-5
put,64.0,2025-03-26,0.002854515474378488,0.0,0.25,5,0,1.50043,-8.564547554e-6,-3.850574294805793e-14,-2.9183566277778877e-30,1.9999998445614794e-5
call,64.0,2025-03-26,0.0028542935058346016,8.7,12.35,0,0,2.714728,0.999991435452446,-3.850574294805793e-14,-2.9183566277778877e-30,1.9999998445614794e-5
put,65.0,2025-03-26,0.0028539446981227803,0.0,0.75,0,0,2.587208,-8.5645475623e-6,-1.6712617839238733e-13,-2.389423548761334e-25,1.999999945216729e-5
call,65.0,2025-03-26,0.0028542935058346016,7.8,11.6,0,0,2.637964,0.9999914354524377,-1.6712617839238733e-13,-2.389423548761334e-25,1.999999945216729e-5
put,66.0,2025-03-26,0.002854008117706748,0.0,1.0,0,0,2.39188,-8.5645475566e-6,-1.3171102615703544e-15,-8.579437652827897e-20,1.9999998714872717e-5
call,66.0,2025-03-26,0.002854103247082699,7.05,10.6,0,1,2.697937,0.9999914354524434,-1.3171102615703544e-15,-8.579437652827897e-20,1.9999998714872717e-5
put,67.0,2025-03-26,0.0028543252156265856,0.0,0.34,0,23,1.704142,-8.5645477192e-6,9.192918168328973e-13,-3.327508046189035e-14,1.9999999838398695e-5
call,67.0,2025-03-26,0.002855752156265855,5.7,9.15,0,1,1.905227,0.9999914354522808,9.192918168328973e-13,-3.327508046189035e-14,1.9999999838398695e-5
put,68.0,2025-03-26,0.0028543252156265856,0.0,0.3,0,49,1.479153,-8.5646448683e-6,7.182098898083463e-10,-2.4434684704939922e-11,2.000003518843067e-5
call,68.0,2025-03-26,0.0028541349568746827,4.75,8.6,0,1,2.364646,0.9999914353551317,7.182098898083463e-10,-2.4434684704939922e-11,2.000003518843067e-5
put,69.0,2025-03-26,0.0028542935058346016,0.0,0.1,15,112,0.989477,-8.7584668153e-6,1.0311635829891981e-6,-5.718080456303595e-8,2.0043747250538096e-5
call,69.0,2025-03-26,0.0028541349568746827,3.9,7.6,0,1,1.836093,0.9999912415331847,1.0311635829891981e-6,-5.718080456303595e-8,2.0043747250538096e-5
call,70.0,2025-03-26,0.0028540715372907155,2.93,6.15,10,9,0.999284,0.9998886080831866,0.0003433537874237062,-4.020423748176954e-5,3.729539630274709e-5
put,70.0,2025-03-26,0.0033093607305936072,0.0,0.01,12,49,NaN,NaN,NaN,NaN,NaN
put,71.0,2025-03-26,0.0028543252156265856,0.0,0.16,13,71,0.646982,-0.0005777135983801,0.0018909094657154188,-0.00022066655768716484,0.00011983325393244273
call,71.0,2025-03-26,0.0028539764079147643,3.05,4.9,10,7,1.157844,0.9994222864016199,0.0018909094657154188,-0.00022066655768716484,0.00011983325393244273
put,72.0,2025-03-26,0.0028543252156265856,0.0,0.08,16,111,0.523291,-0.0085782549591223,0.021291850293269125,-0.003991305584726696,0.0009735118914002603
call,72.0,2025-03-26,0.002854008117706748,2.28,3.75,2,18,0.586134,0.9914217450408777,0.021291850293269125,-0.003991305584726696,0.0009735118914002603
put,73.0,2025-03-26,0.0028543252156265856,0.02,0.05,183,181,0.308402,-0.0675038333755815,0.11273891175680288,-0.04072286734846266,0.0054203401010974464
call,73.0,2025-03-26,0.0028538812785388126,1.72,2.3,78,426,0.362773,0.9324961666244185,0.11273891175680288,-0.04072286734846266,0.0054203401010974464
put,74.0,2025-03-26,0.0028540398274987315,0.13,0.16,4380,4020,0.278018,-0.2226178660551542,0.28787490288595663,-0.15124495528895301,0.011780393349705114
call,74.0,2025-03-26,0.0028539764079147643,0.89,1.06,84,139,0.308646,0.7773821339448458,0.28787490288595663,-0.15124495528895301,0.011780393349705114
put,75.0,2025-03-26,0.0028540398274987315,0.47,0.54,4219,128,0.254858,-0.5728223990593904,0.3872827414615104,-0.19717128574334103,0.01531283591294337
call,75.0,2025-03-26,0.0028539446981227803,0.28,0.38,235,549,0.249784,0.4271776009406096,0.3872827414615104,-0.19717128574334103,0.01531283591294337
put,76.0,2025-03-26,0.002854103247082699,1.01,1.5,42,6,0.226865,-0.8766242378281084,0.19002490647972556,-0.056242440827362385,0.007378132174287541
call,76.0,2025-03-26,0.0028539764079147643,0.05,0.08,370,860,0.261084,0.12337576217189158,0.19002490647972556,-0.056242440827362385,0.007378132174287541
put,77.0,2025-03-26,0.002854261796042618,1.29,2.5,26,1,0.429026,-0.9826848594062795,0.037856320975563684,-0.005637317609780396,0.0016268678880158615
call,77.0,2025-03-26,0.0028540715372907155,0.0,0.08,79,960,0.283583,0.01731514059372057,0.037856320975563684,-0.005637317609780396,0.0016268678880158615
call,78.0,2025-03-26,0.0028543252156265856,0.0,0.01,4,289,0.694992,0.0009483786257865468,0.002729613805385144,-0.00022648550234839835,0.0001297536353850173
put,78.0,2025-03-26,0.0028543252156265856,2.46,5.05,0,2,1.666034,-0.9990516213742134,0.002729613805385144,-0.00022648550234839835,0.0001297536353850173
put,79.0,2025-03-26,0.0028543252156265856,3.2,5.5,92,1,1.101852,-0.9999765571922201,8.1695850583058e-5,-4.4035532276331e-6,2.3893251287789035e-5
call,79.0,2025-03-26,0.0028543252156265856,0.0,0.2,12,9,0.836744,2.3442807779919638e-5,8.1695850583058e-5,-4.4035532276331e-6,2.3893251287789035e-5
put,80.0,2025-03-26,0.0028543252156265856,3.55,7.3,0,0,2.0597,-0.9999997636547986,9.555353327628087e-7,-3.622321943267836e-8,2.0050751250681122e-5
call,80.0,2025-03-26,0.0028543252156265856,0.0,0.23,1,5,0.677397,2.363452014072751e-7,9.555353327628087e-7,-3.622321943267836e-8,2.0050751250681122e-5
put,81.0,2025-03-26,0.0028539446981227803,5.0,7.9,2,0,1.155906,-0.9999999993560752,2.973770688565887e-9,-8.102334353282262e-11,2.000011830113166e-5
call,81.0,2025-03-26,0.002854008117706748,0.0,0.75,0,0,1.741545,6.439248535718283e-10,2.973770688565887e-9,-8.102334353282262e-11,2.000011830113166e-5
put,82.0,2025-03-26,0.002858352359208524,6.2,8.45,92,0,1.424686,-0.9999999999989849,5.127931959455335e-12,-1.1089119236661317e-13,2.000000031004211e-5
call,82.0,2025-03-26,0.003573059360730594,0.0,0.07,0,39,NaN,NaN,NaN,NaN,NaN
call,83.0,2025-03-26,0.0028543252156265856,0.0,0.75,0,0,2.049171,1.588707606668375e-16,8.858772398771497e-16,-1.4706356309900765e-17,2.0000000000034327e-5
put,83.0,2025-03-26,0.0028541349568746827,7.95,9.4,46,0,1.555907,-0.9999999999999999,8.858772398771497e-16,-1.4706356309900765e-17,2.0000000000034327e-5
put,84.0,2025-03-26,0.0028541349568746827,7.35,11.3,0,0,3.185081,-1.0,2.728713166618264e-20,-3.6647302434997326e-22,2.0000000000000005e-5
call,84.0,2025-03-26,0.0028540715372907155,0.0,0.75,0,10,2.196623,4.533806985663898e-21,2.728713166618264e-20,-3.6647302434997326e-22,2.0000000000000005e-5
put,85.0,2025-03-26,0.0028541349568746827,9.2,11.25,54,8,1.273239,-1.0,1.0972442774373125e-24,-1.3134221285626938e-26,2.0e-5
call,85.0,2025-03-26,0.0030190575849822427,0.0,0.01,0,5,NaN,NaN,NaN,NaN,NaN
put,50.0,2025-03-28,0.008333555301877219,0.0,1.35,0,0,3.509581,-3.9e-15,-8.540448426129601e-15,0.0,1.9999997843957523e-5
call,50.0,2025-03-28,0.008333745560629123,24.05,26.4,0,20,3.154552,0.9999999999999961,-8.540448426129601e-15,0.0,1.9999997843957523e-5
put,55.0,2025-03-28,0.008333460172501268,0.0,1.92,0,0,2.850551,1.0e-15,2.2829204327992695e-14,0.0,1.999999796050036e-5
call,55.0,2025-03-28,0.008333650431253172,17.75,21.5,0,0,3.307343,1.000000000000001,2.2829204327992695e-14,0.0,1.999999796050036e-5
put,60.0,2025-03-28,0.008333745560629123,0.0,0.6,0,29,1.944556,0.0,1.9013407133311885e-15,-1.5509417129367185e-18,1.9999997989636074e-5
call,60.0,2025-03-28,0.008333587011669204,12.75,16.65,0,17,2.425325,1.0,1.9013407133311885e-15,-1.5509417129367185e-18,1.9999997989636074e-5
put,61.0,2025-03-28,0.008333333333333333,0.0,0.75,0,8,1.957024,-1.0e-15,-1.3281452763376473e-15,-2.88435208042191e-16,1.9999999086778426e-5
call,61.0,2025-03-28,0.008333555301877219,11.75,15.65,0,0,2.194925,0.999999999999999,-1.3281452763376473e-15,-2.88435208042191e-16,1.9999999086778426e-5
put,62.0,2025-03-28,0.008333777270421106,0.0,0.95,0,2,1.843278,-1.282e-13,6.095927368311184e-13,-4.5349087937811e-14,1.9999998423473783e-5
call,62.0,2025-03-28,0.008333460172501268,10.7,14.65,0,0,2.13619,0.9999999999998718,6.095927368311184e-13,-4.5349087937811e-14,1.9999998423473783e-5
put,63.0,2025-03-28,0.008333428462709284,0.0,0.95,0,5,1.730221,-9.2358e-12,3.6530300476888255e-11,-3.3305003834575605e-12,2.0000006976115396e-5
call,63.0,2025-03-28,0.008333587011669204,9.75,13.7,0,0,2.10578,0.9999999999907642,3.6530300476888255e-11,-3.3305003834575605e-12,2.0000006976115396e-5
call,64.0,2025-03-28,0.008333365043125316,8.75,12.7,0,1,1.856634,0.9999999994708234,1.9060185953590444e-9,-2.0242433524505036e-10,2.000032473644397e-5
put,64.0,2025-03-28,0.008333682141045155,0.0,0.75,0,280,1.61516,-5.291766e-10,1.9060185953590444e-9,-2.0242433524505036e-10,2.000032473644397e-5
put,65.0,2025-03-28,0.008333460172501268,0.0,0.75,0,109,1.501946,-1.53724439e-8,5.084879059325908e-8,-6.217975392920782e-9,2.000716942846904e-5
call,65.0,2025-03-28,0.008333396752917301,8.0,11.65,0,8,1.932884,0.9999999846275561,5.084879059325908e-8,-6.217975392920782e-9,2.000716942846904e-5
put,66.0,2025-03-28,0.008333396752917301,0.0,0.95,0,13,1.38862,-2.997667602e-7,9.067850034488903e-7,-1.2873588396204916e-7,2.012311695618219e-5
call,66.0,2025-03-28,0.008333460172501268,6.75,10.65,0,0,1.956712,0.9999997002332398,9.067850034488903e-7,-1.2873588396204916e-7,2.012311695618219e-5
put,67.0,2025-03-28,0.008333460172501268,0.0,0.75,0,187,1.273667,-6.1275905896e-6,1.6204140559386947e-5,-2.889427344867027e-6,2.2310989199947176e-5
call,67.0,2025-03-28,0.008333460172501268,5.85,9.65,0,7,1.374583,0.9999938724094104,1.6204140559386947e-5,-2.889427344867027e-6,2.2310989199947176e-5
put,68.0,2025-03-28,0.008333713850837138,0.0,0.25,0,288,0.817152,-0.0002669061597722,0.0005120206273064303,-0.00015985175235721483,0.00010333031918976067
