option_type,strike,expiration_date,yearstoexp,bid,ask,volume,open_interest,mid_iv,delta,gamma,theta,vega
put,80.0,2024-12-13,0.0089214865550482,0.0,0.01,0,80,NaN,NaN,NaN,NaN,NaN
call,80.0,2024-12-13,0.008219209791983765,220.55,224.75,6,15,8.632117,0.9999515094300091,6.337647258323906e-16,0.0,2.0000000228552533e-5
put,85.0,2024-12-13,0.008960679857940131,0.0,0.01,0,36,NaN,NaN,NaN,NaN,NaN
call,85.0,2024-12-13,0.008219209791983765,215.55,219.7,0,0,8.259071,0.9999515094300088,4.0625943963614785e-17,0.0,2.00000003428288e-5
put,90.0,2024-12-13,0.008882927447995941,0.0,0.01,0,28,NaN,NaN,NaN,NaN,NaN
call,90.0,2024-12-13,0.008219304921359716,210.55,214.2,0,0,7.909641,0.9999515094300051,2.3542438774601957e-16,0.0,1.999999591948506e-5
put,95.0,2024-12-13,0.00896023592085236,0.0,0.01,0,0,NaN,NaN,NaN,NaN,NaN
call,95.0,2024-12-13,0.008219304921359716,205.75,209.2,0,0,7.581064,0.9999515094300053,7.857594493579777e-17,0.0,1.9999993277726944e-5
put,100.0,2024-12-13,0.008811326737696601,0.0,0.01,0,358,NaN,NaN,NaN,NaN,NaN
call,100.0,2024-12-13,0.008219241501775748,200.75,204.2,0,8,7.305209,0.9999515094300145,-1.5433777272457255e-15,0.0,1.9999993159792324e-5
put,105.0,2024-12-13,0.008220129375951294,0.0,0.01,10,137,0.0,-4.84905699958e-5,-2.9446365385589747e-16,-1.4178807877418409e-30,1.9999999404098056e-5
call,105.0,2024-12-13,0.008219304921359716,195.75,199.2,0,2,6.975521,0.9999515094300042,-2.9446365385589747e-16,-1.4178807877418409e-30,1.9999999404098056e-5
put,110.0,2024-12-13,0.008404838914256722,0.0,0.01,120,168,NaN,NaN,NaN,NaN,NaN
call,110.0,2024-12-13,0.008219304921359716,190.75,194.2,0,9,6.72374,0.9999515094300034,6.873537663857267e-16,-9.417760695868767e-27,1.9999999642458833e-5
put,115.0,2024-12-13,0.008936199898528665,0.0,0.02,0,117,NaN,NaN,NaN,NaN,NaN
call,115.0,2024-12-13,0.008219304921359716,185.6,189.15,0,1,6.454045,0.9999515094300055,-1.1624159338404718e-16,-8.211218693527997e-24,1.999998818963301e-5
put,120.0,2024-12-13,0.008219146372399797,0.0,0.01,0,318,0.0,-4.84905699923e-5,-1.0298356094366999e-16,-2.6249506414455024e-21,1.9999988308929652e-5
call,120.0,2024-12-13,0.008219304921359716,180.45,184.15,0,1,6.196692,0.9999515094300077,-1.0298356094366999e-16,-2.6249506414455024e-21,1.9999988308929652e-5
put,125.0,2024-12-13,0.008405314561136478,0.0,0.01,8,505,NaN,NaN,NaN,NaN,NaN
call,125.0,2024-12-13,0.008219304921359716,175.8,179.15,0,1,5.9506,0.9999515094300129,-1.0939907408198297e-15,-3.915587564695832e-19,1.9999988547522923e-5
put,130.0,2024-12-13,0.008226122526636225,0.0,0.01,1,689,0.0,-4.84905699913e-5,-4.470591779830547e-16,-3.089517238058566e-17,1.9999989144006102e-5
