option_type,strike,expiration_date,yearstoexp,bid,ask,volume,open_interest,mid_iv,delta,gamma,theta,vega
put,5.0,2023-12-15,0.011605339928970067,0.0,0.01,0,730,NaN,NaN,NaN,NaN,NaN
call,5.0,2023-12-15,0.010968099949264332,543.05,557.65,0,0,0.0,0.9999999999999974,5.470272778522308e-16,-7.066212637701071e-13,1.9999999345110783e-5
put,10.0,2023-12-15,0.011605339928970067,0.0,0.01,0,3144,NaN,NaN,NaN,NaN,NaN
call,10.0,2023-12-15,0.01095896752917301,539.8,548.5,0,0,0.0,0.9999999999999974,5.470272778522308e-16,-7.066212637701071e-13,1.9999999345110783e-5
put,15.0,2023-12-15,0.01096673642820903,0.0,0.01,0,1279,0.0,-2.6e-15,5.470272778522308e-16,-7.066212637701071e-13,1.9999999345110783e-5
call,15.0,2023-12-15,0.010959252917300863,535.9,543.1,0,0,0.0,0.9999999999999974,5.470272778522308e-16,-7.066212637701071e-13,1.9999999345110783e-5
put,20.0,2023-12-15,0.010974949264332826,0.0,0.01,0,109,0.0,-2.6e-15,5.470272778522308e-16,-7.066212637701071e-13,1.9999999345110783e-5
call,20.0,2023-12-15,0.010959094368340944,533.55,538.2,0,0,0.0,0.9999999999999974,5.470272778522308e-16,-7.066212637701071e-13,1.9999999345110783e-5
put,25.0,2023-12-15,0.010974949264332826,0.0,0.01,0,47,0.0,-2.6e-15,5.470272778522308e-16,-7.066212637701071e-13,1.9999999345110783e-5
call,25.0,2023-12-15,0.010958999238964992,525.85,532.95,0,0,0.0,0.9999999999999974,5.470272778522308e-16,-7.066212637701071e-13,1.9999999345110783e-5
put,30.0,2023-12-15,0.011605339928970067,0.0,0.01,0,89,NaN,NaN,NaN,NaN,NaN
call,30.0,2023-12-15,0.01095896752917301,520.9,528.0,0,1,0.0,0.9999999999999974,5.470272778522308e-16,-7.066212637701071e-13,1.9999999345110783e-5
put,35.0,2023-12-15,0.010974949264332826,0.0,0.01,0,3,0.0,-2.6e-15,5.470272778522308e-16,-7.066212637701071e-13,1.9999999345110783e-5
call,35.0,2023-12-15,0.010959157787924912,516.3,523.15,0,0,0.0,0.9999999999999974,5.470272778522308e-16,-7.066212637701071e-13,1.9999999345110783e-5
put,40.0,2023-12-15,0.01169086123795028,0.0,0.03,0,169,NaN,NaN,NaN,NaN,NaN
call,40.0,2023-12-15,0.010958999238964992,510.85,517.8,0,0,0.0,0.9999999999999974,5.470272778522308e-16,-7.066212637701071e-13,1.9999999345110783e-5
put,45.0,2023-12-15,0.01169086123795028,0.0,0.03,0,27,NaN,NaN,NaN,NaN,NaN
call,45.0,2023-12-15,0.010958999238964992,505.4,512.75,0,0,0.0,0.9999999999999974,5.470272778522308e-16,-7.066212637701071e-13,1.9999999345110783e-5
call,50.0,2023-12-15,0.010958999238964992,500.85,508.95,0,0,0.0,0.9999999999999974,5.470272778522308e-16,-7.066212637701071e-13,1.9999999345110783e-5
put,50.0,2023-12-15,0.010966260781329274,0.0,0.01,0,106,0.0,-2.6e-15,5.470272778522308e-16,-7.066212637701071e-13,1.9999999345110783e-5
put,55.0,2023-12-15,0.01169086123795028,0.0,0.04,0,96,NaN,NaN,NaN,NaN,NaN
call,55.0,2023-12-15,0.01095906265854896,495.8,503.9,0,0,0.0,0.9999999999999974,5.470272778522308e-16,-7.066212637701071e-13,1.9999999345110783e-5
put,60.0,2023-12-15,0.010966577879249113,0.0,0.05,0,50,0.0,-2.6e-15,5.470272778522308e-16,-7.066212637701071e-13,1.9999999345110783e-5
call,60.0,2023-12-15,0.010959126078132927,491.05,498.25,0,0,0.0,0.9999999999999974,5.470272778522308e-16,-7.066212637701071e-13,1.9999999345110783e-5
put,65.0,2023-12-15,0.01169086123795028,0.0,0.05,0,21,NaN,NaN,NaN,NaN,NaN
call,65.0,2023-12-15,0.010958999238964992,486.1,493.1,0,0,0.0,0.9999999999999974,5.470272778522308e-16,-7.066212637701071e-13,1.9999999345110783e-5
put,70.0,2023-12-15,0.01169086123795028,0.0,0.05,0,35,NaN,NaN,NaN,NaN,NaN
call,70.0,2023-12-15,0.010959348046676814,484.55,487.85,0,0,0.0,0.9999999999999974,5.470272778522308e-16,-7.066212637701071e-13,1.9999999345110783e-5
put,75.0,2023-12-15,0.01169086123795028,0.0,0.05,0,65,NaN,NaN,NaN,NaN,NaN
call,75.0,2023-12-15,0.01095896752917301,475.85,481.9,0,0,0.0,0.9999999999999974,5.470272778522308e-16,-7.066212637701071e-13,1.9999999345110783e-5
put,80.0,2023-12-15,0.010962075088787418,0.0,0.85,0,76,0.0,-2.6e-15,5.470272778522308e-16,-7.066212637701071e-13,1.9999999345110783e-5
call,80.0,2023-12-15,0.01095906265854896,470.85,478.25,0,0,0.0,0.9999999999999974,5.470272778522308e-16,-7.066212637701071e-13,1.9999999345110783e-5
put,85.0,2023-12-15,0.010962075088787418,0.0,1.29,0,15,0.0,-2.6e-15,5.470272778522308e-16,-7.066212637701071e-13,1.9999999345110783e-5
call,85.0,2023-12-15,0.010959284627092846,464.55,472.35,0,0,8.639571,0.9999999999999974,5.470272778522308e-16,-7.066212637701071e-13,1.9999999345110783e-5
put,90.0,2023-12-15,0.010970192795535261,0.0,0.05,0,68,0.0,1.074833653e-7,5.118255617164196e-7,-7.066212637701071e-13,1.9999999345110783e-5
call,90.0,2023-12-15,0.01095896752917301,460.45,468.05,0,0,0.0,1.0000001074833653,5.118255617164196e-7,-7.066212637701071e-13,1.9999999345110783e-5
put,95.0,2023-12-15,0.010962075088787418,0.0,1.34,0,39,0.0,-5.32062418487e-5,1.4960026319037114e-6,-0.0003369782092894297,3.267146098204252e-5
call,95.0,2023-12-15,0.010959030948756976,455.8,462.0,0,0,8.59797,0.9999467937581513,1.4960026319037114e-6,-0.0003369782092894297,3.267146098204252e-5
put,100.0,2023-12-15,0.01096058472856418,0.0,1.5,2,336,0.0,-8.40286503769e-5,7.07508993416411e-7,-0.0008427700858175357,3.0437553634269465e-5
call,100.0,2023-12-15,0.010959030948756976,450.85,456.9,0,45,8.383025,0.9999159713496231,7.07508993416411e-7,-0.0008427700858175357,3.0437553634269465e-5
put,105.0,2023-12-15,0.010959252917300863,0.0,0.07,1,16,0.0,-9.71505825179e-5,2.847508546683837e-7,-0.0014648415862393584,2.533529507941797e-5
call,105.0,2023-12-15,0.010958999238964992,447.25,451.95,0,0,8.703376,0.9999028494174821,2.847508546683837e-7,-0.0014648415862393584,2.533529507941797e-5
put,110.0,2023-12-15,0.01095906265854896,0.0,1.5,0,11,0.0,-0.0001019604696494,9.341689750919607e-8,-0.0021619757316719375,2.1997829297764167e-5
call,110.0,2023-12-15,0.010958999238964992,440.85,447.7,0,1,9.00251,0.9998980395303506,9.341689750919607e-8,-0.0021619757316719375,2.1997829297764167e-5
put,115.0,2023-12-15,0.01095906265854896,0.0,1.5,0,54,0.0,-0.0001033102120203,2.750840746305457e-8,-0.0029004380610269218,2.063965691807692e-5
call,115.0,2023-12-15,0.010959157787924912,435.6,442.3,0,0,8.36984,0.9998966897879797,2.750840746305457e-8,-0.0029004380610269218,2.063965691807692e-5
put,120.0,2023-12-15,0.011677511415525114,0.0,0.03,0,69,NaN,NaN,NaN,NaN,NaN
call,120.0,2023-12-15,0.01095982369355657,430.6,438.95,0,1,8.922184,0.9998963003167477,5.772480506051565e-9,-0.0036520611534516666,2.0141412919775882e-5
call,125.0,2023-12-15,0.010959030948756976,425.85,432.8,0,1,8.390568,0.9998962316834692,1.2311197089756588e-9,-0.004409168650863297,2.0031193319650088e-5
